comment,clean,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
"@theorifai Saya kembali jelaskan konsep banding sesuai story official akun msib pada 27 Januari 2023 lalu bahwa banding itu bukan revisi, tapi crosscheck dokumen kembali. Jadi harusnya ga ada yg berubah dr dokumennya, hanya hasil crosschecknya yang berubah. Tapi saya juga gatau kalau ternyata diperbolehkan dan diluluskan ketika mengunggah dokumen revisi. Berarti pihak msib ga konsisten kalau itu benar terjadi. Trus kalau masnya melabeling semua yg reject itu asal - asalan, apa kabar yang lolos banding?ð Bisa dibilang ada kesalahan sistem saat verifikasi pertama lalu dicek kembali melalui banding. Kesimpulannya belum tentu yang reject asalÂ²an, bukan? Nah sayangnya tidak sedikit yang mengetahui info banding ini, bahkan di mitra saya kemarin ada yang hingga tgl 28 Januari 2023 statusnya masih dalam review. Kan gambling kalau gini.",saya kembali jelaskan konsep banding sesuai story official akun msib pada januari lalu bahwa banding itu bukan revisi tapi crosscheck dokumen kembali jadi harusnya tidak ada yang berubah dari dokumennya hanya hasil crosschecknya yang berubah tapi saya juga enggak tau kalau ternyata diperbolehkan dan diluluskan ketika mengunggah dokumen revisi berarti pihak msib tidak konsisten kalau itu benar terjadi terus kalau masnya melabeling semua yang reject itu asal asalan apa kabar yang lolos banding bisa dibilang ada kesalahan sistem saat verifikasi pertama lalu dicek kembali melalui banding kesimpulannya belum tentu yang reject asalan bukan nah sayangnya tidak sedikit yang mengetahui informasi banding ini bahkan di mitra saya kemarin ada yang hingga tanggal januari statusnya masih dalam review kan gambling kalau begini,2,0,0,0,0
"@tamhaikall klo skrg, positif g lolos sih bang. Klo kmrn2 tuh baru gaje",kalau sekarang positif tidak lolos sih bang kalau kmrn2 tuh baru enggak jelas,2,0,0,0,0
"@theorifai mengingat ini program pemerintah, sistemnya harusnya bisa lebih efisien sih. Klo emg dr mitra dirasa udh cukup kandidatnya, bisa lansung reject all aja. Mhs jg g ngelewatin TERLALU BANYAK KESEMPATAN krn masih digantung MSIB. Soalnya kata kampus ""jgn serakah, tunggu dulu satu, baru ambil yg lain"" kan mhs jg serba bingung",mengingat ini program pemerintah sistemnya harusnya bisa lebih efisien sih kalau memang dari mitra dirasa sudah cukup kandidatnya bisa lansung reject all saja mhs juga tidak ngelewatin terlalu banyak kesempatan karena masih digantung msib soalnya kata kampus jangan serakah tunggu dulu satu baru ambil yang lain kan mhs juga serba bingung,2,0,0,0,0
"Ga ada notif lulus tidaknya min,,,diproses trusð¢ð¢ð¢",tidak ada notif lulus tidaknya mindiproses terus,1,0,0,0,0
"@theorifai Loh iya memangð, tapi buktinya banyak yg emang bersungguhÂ² tapi hampir gagal bahkan gagal di berkas garaÂ² sistem. Yang jadi concern saya bagian ini. Saya tekankan jangan labeling semua yang gagal itu sengaja salah atau berniat memalsukan berkas. Wong banyak juga yang hasil bandingnya lolos. Berarti kan sebenernya dia ga salah tapi dianggap salah lalu dikoreksi kembali jadi benarð",loh iya memang tapi buktinya banyak yang memang bersungguh tapi hampir gagal bahkan gagal di berkas gara sistem yang jadi concern saya bagian ini saya tekankan jangan labeling semua yang gagal itu sengaja salah atau berniat memalsukan berkas wong banyak juga yang hasil bandingnya lolos berarti kan sebenarnya dia tidak salah tapi dianggap salah lalu dikoreksi kembali jadi benar,0,0,0,0,0
"Serius, ini testimoni kating saya. MBKM cuma buat formalitas program pemerintah & ajang pamer2an univ atas syp yg paling banyak mahasiswanya diterima di program pemerintah. Sampe2 program magang mandiri dihapus (klo d fakultas saya sih gitu) biar ngikut pemerintah aja. Jadi yg g MBKM, kena cap ga punya peluang. Pdhl krn peluang yg lain dipaksa ditutup. Gembar-gembor dipromosiin, mindset mhs dibikin seolah MBKM itu segalanya buat mhs, pdhl realita pelaksanaannya banyak pihak yg masih acuh. Kurang koordinasi. Kurang sosialisasi. Harusnya saya dengerin testimoni dr kating saya itu. Karena realitanya 100% akurat. Ga semanis yg dijanjikan. DI MANA MERDEKA NYA?",serius ini testimoni kating saya mbkm cuma buat formalitas program pemerintah ajang pamer2an universitas atas siapa yang paling banyak mahasiswanya diterima di program pemerintah sampe2 program magang mandiri dihapus kalau di fakultas saya sih begitu biar ikut pemerintah saja jadi yang tidak mbkm kena cap tidak punya peluang padahal karena peluang yang lain dipaksa ditutup gembargembor dipromosiin mindset mhs dibikin seolah mbkm itu segalanya buat mhs padahal realita pelaksanaannya banyak pihak yang masih acuh kurang koordinasi kurang sosialisasi harusnya saya mendengarkan testimoni dari kating saya itu karena realitanya akurat tidak semanis yang dijanjikan di mana merdeka nya,2,0,0,0,0
"@theorifai lahh bang, lu pikir semua itu asal2an huh? Gimana gue yg udh nyiapin bener2 jauh2 hari dan detail hah?",lah bang kamu pikir semua itu asal2an huh bagaimana saya yang sudah mempersiapkan benar-benar jauh2 hari dan detail hah,0,0,0,0,0
"@bro.swryz kalau bersungguh2 kan berarti memang mempersiapkan dgn baik kan? Ga asal scan dan comot materai dll? Ga asal apply, ga hobi mepet dedline.  Hoki lebih memihak bagi mereka yg bersungguh2.",kalau bersungguh2 kan berarti memang mempersiapkan dengan baik kan tidak asal scan dan comot materai dan lain-lain tidak asal apply tidak hobi dekat sekali dedline hoki lebih memihak bagi mereka yang bersungguh2,0,0,2,2,2
"Kalo blm lulus, Yah sudahlah blm rejeki ð",kalau belum lulus iya sudahlah belum rezeki,1,0,0,0,0
"@juaniko_kristianto iya minimal smt 5, berarti 5,6,7,8 dst pasti bisa mas. Asal gak bentrok dengan jadwal lain seperti kkn, skripsi, atau wisuda.",iya minimal smt berarti dan seterusnya pasti bisa mas asal tidak bentrok dengan jadwal lain seperti kkn skripsi atau wisuda,0,1,1,1,1
"@frontry_rama tapi... dr MSIB jg g jelas kak... Ini mhs nasional loh yg kena prank, bukan satu-dua perusahaan yg males ACC",tapi dari msib juga tidak jelas kak ini mhs nasional loh yang kena prank bukan satudua perusahaan yang malas accord,0,0,0,0,0
Bintang 1,bintang,1,2,2,2,2
"Masih diproses, sepertinya saya gagal magang lagi ð",masih diproses sepertinya saya gagal magang lagi,0,0,0,0,0
Ayo dong min kejelasannya gimana,ayo dong min kejelasannya bagaimana,1,1,1,0,0
"Pak @nadiemmakarim kami di gantung, mau nanya tapi No Dm Service. Nanya di web Kampus Merdeka ga ada Balasanð",pak kami di gantung mau bertanya tapi no dm service bertanya di web kampus merdeka tidak ada balasan,1,1,1,1,0
"Emg bener kata sebelah ""diam adalah emas""ð",memang benar kata sebelah diam adalah emas,2,2,0,0,0
@rijalulmufty_1 iya nihh ga ada kepastian lolos atau engga nih,iya ini tidak ada kepastian lolos atau tidak ini,1,0,1,0,1
@bagjha__ samanya kita,samanya kita,1,2,1,2,1
"@pradana.du IYA SETUJUU BGTT. TRANSPARAN DONG KLO DI TOLAK, JGN BIKIN ORANG NUNGGU @magangmerdeka @puslapdik_dikbud @nadiemmakarim",iya setujuu banget transparan dong kalau di tolak jangan bikin orang menunggu,2,0,1,0,0
@dianicoputra aminnn,amin,1,2,2,2,2
"@3ci___3 betul. Bukannya gabisa belajar nerima, kita jg ga cuman berharap doang, usaha kita juga jadinya ngecewain hasil",betul bukannya enggak bisa belajar menerima kita juga tidak cuman berharap doang usaha kita juga jadinya ngecewain hasil,2,0,0,0,0
"Kalo ga lolos umumin pliss, biar aku bisa lanjut penelitian nih ð­ð­",kalau tidak lolos umumin pliss biar aku bisa lanjut penelitian ini,2,1,1,1,1
kak kok ini proses melulu gaada email apapun,kak kok ini proses melulu enggak ada email apapun,1,0,0,0,0
"@bchanh18_ casenya sama ya mas berarti, semoga segera ada kejelasan",casenya sama iya mas berarti semoga segera ada kejelasan,0,1,1,0,1
@pradana.du betul,betul,2,2,2,2,2
kak kenapa yang saya masih proses aja yaa,kak kenapa yang saya masih proses saja iya,1,1,1,0,0
"Berharap sih min ada keajaiban, dari tulisan di proses, lalu ada kepastian. :( Kalau di proses terus kan kami juga bingung, ada kesempatan lain yang udah di lepas, untuk MSIB ternyata, dari MSIB belum ada kabar yang pasti.",berharap sih min ada keajaiban dari tulisan di proses lalu ada kepastian kalau di proses terus kan kami juga bingung ada kesempatan lain yang sudah di lepas untuk msib ternyata dari msib belum ada kabar yang pasti,0,0,0,0,0
"@dianicoputra maaf mas izin komentar. Saya juga seperti ini kasusnya, sudah dinyatakan lolos dari web tetapi tidak dapat invitation onboarding dan nama saya di mitra juga tidak ada. Tetapi dari pihak recruitment mitra menyatakan saya lolos. Sampai bingung harus bagaimana dan berujung saya sudah terlanjur tidak melanjutkan pendaftaran ke tempat lain. Saya doakan yang terbaik juga utk masnya yaðð»",maaf mas izin komentar saya juga seperti ini kasusnya sudah dinyatakan lolos dari web tetapi tidak dapat invitation onboarding dan nama saya di mitra juga tidak ada tetapi dari pihak recruitment mitra menyatakan saya lolos sampai bingung harus bagaimana dan berujung saya sudah terlanjur tidak melanjutkan pendaftaran ke tempat lain saya doakan yang terbaik juga untuk masnya iya,2,2,0,0,0
"Berharap sih min ada keajaiban, dari tulisan di proses, lalu ada kepastian. :( Kalau di proses terus kan kami juga bingung, ada kesempatan lain yang udah di lepas, untuk MSIB ternyata, dari MSIB belum ada kabar yang pasti.",berharap sih min ada keajaiban dari tulisan di proses lalu ada kepastian kalau di proses terus kan kami juga bingung ada kesempatan lain yang sudah di lepas untuk msib ternyata dari msib belum ada kabar yang pasti,0,0,0,0,0
"Isoke bro, gw juga korbannya. Biar tuhan yang membalas mereka semua nanti semoga setelah kerja nanti kita bisa meninggalkan negeri ini untuk dapat kehidupan yang layak dan lebih dihargaið",isoke saudara laki-laki saya juga korbannya biar tuhan yang membalas mereka semua nanti semoga setelah kerja nanti kita bisa meninggalkan negeri ini untuk dapat kehidupan yang layak dan lebih dihargai,2,2,2,0,0
Min @magangmerdeka kalo di web tulisannya di proses terus bagaimana ya? Padahal dapet email ketrima,min kalau di web tulisannya di proses terus bagaimana iya padahal dapat email diterima,1,1,1,0,0
"semangat yg udah mulai masuk hari ini, semoga kesempatan baik nya menular ya",semangat yang sudah mulai masuk hari ini semoga kesempatan baik nya menular iya,2,2,2,2,2
"@theorifai Gabisa digeneralisasi juga, jatuhnya rugi buat mereka yang beneran bersungguhÂ² dan memang seharusnya layak join program ini. Jatuhnya seleksi modal hoki. GWS buat negeri ini, membiasakan kebiasaan yang salah demi keuntungan satu pihak aja bahkan ada pihak yang masih menganggap ini wajarð",enggak bisa digeneralisasi juga jatuhnya rugi buat mereka yang benaran bersungguh dan memang seharusnya layak join program ini jatuhnya seleksi modal hoki cepat sembuh buat negeri ini membiasakan kebiasaan yang salah demi keuntungan satu pihak saja bahkan ada pihak yang masih menganggap ini wajar,2,0,0,0,0
msib nya rusaaaakkk wkwk,msib nya rusaaaakkk wkwk,1,0,0,2,2
"@_andrieseprian yah pada akhirnya mahasiswa yang disalahkan, baik dari kampus bahkan ternyata dari kakak panitia MSIB nya terkait hal ini. Besar harapan kami untuk batch selanjutnya agar lebih baik sistemnya, kejelasannya, dan kerendahan hatinya untuk klarifikasi dengan mendengarkan tanpa menyalahkan. Saya paham betul bahwa tugas kakak kakak sangat berat, namun alangkah lebih baiknya untuk memberikan klarifikasi secara resmi jika ada kejadian seperti ini agar kami tidak berharap.",iya pada akhirnya mahasiswa yang disalahkan baik dari kampus bahkan ternyata dari kakak panitia msib nya terkait hal ini besar harapan kami untuk batch selanjutnya agar lebih baik sistemnya kejelasannya dan kerendahan hatinya untuk klarifikasi dengan mendengarkan tanpa menyalahkan saya paham betul bahwa tugas kakak kakak sangat berat namun alangkah lebih baiknya untuk memberikan klarifikasi secara resmi jika ada kejadian seperti ini agar kami tidak berharap,2,0,0,0,0
@bro.swryz sebenernya mau dibuka sampai hari inipun banding pasti mahasiswa banyak yang mepet2 revisi upload. Banyak loh mitra yg udah upload sejak tahun lalu tapi baru di approval awal tahun. Begitulah drama hidup nak. ð,sebenarnya mau dibuka sampai hari inipun banding pasti mahasiswa banyak yang mepet2 revisi upload banyak loh mitra yang sudah upload sejak tahun lalu tapi baru di approval awal tahun begitulah drama hidup nak,2,2,0,0,0
"@theorifai selain itu jawaban dari Helpdesk hanya menyuruh menunggu karena katanya masih proses seleksi, disamping itu banyak sekali mahasiswa yang tidak isi KRS karena sudah dinyatakan lolos oleh mitra. Sehingga kami menunggu adanya keputusan lolos/tidak lolosnya dari pihak MSIB yang sampai saat ini tidak ada jawaban pasti. Hingga pada akhirnya KRS kami bermasalah karena beberapa PT udah mulai pembelajaran. Selain itu helpdesk menyatakan kalau silakan menunggu karena kami akan menginformasikan lewat email. Dan semua informasi yang valid hanya berasal dari pihak MSIB bukan dari mitra. Padahal kami bahkan dapat info eligible/tidaknya dari mitra.",selain itu jawaban dari helpdesk hanya menyuruh menunggu karena katanya masih proses seleksi disamping itu banyak sekali mahasiswa yang tidak isi krs karena sudah dinyatakan lolos oleh mitra sehingga kami menunggu adanya keputusan lolostidak lolosnya dari pihak msib yang sampai saat ini tidak ada jawaban pasti hingga pada akhirnya krs kami bermasalah karena beberapa pt sudah mulai pembelajaran selain itu helpdesk menyatakan kalau silakan menunggu karena kami akan menginformasikan lewat email dan semua informasi yang valid hanya berasal dari pihak msib bukan dari mitra padahal kami bahkan dapat informasi eligibletidaknya dari mitra,2,0,0,0,0
"@theorifai Penutupan banding tgl 27 sore tapi di grup mitra saya ada yang sampai tanggal 28 status berkasnya masih on-review. Syukur dia lolos, andaikata statusnya reject bagaimana nasibnya, mas? Yang kaya gini ga boleh dinormalisasi. Saya maklum kalau sistemnya ga sanggup mengakomodir org banyak karena juga buatan manusia, tapi minimal kasih solusi yang sama2 menguntungkan. Kalau begini kesannya menguntungkan pihak msib aja. Mitra dan mahasiswa yang rugi. Terutama mahasiswa.",penutupan banding tanggal sore tapi di grup mitra saya ada yang sampai tanggal status berkasnya masih onreview syukur dia lolos andaikata statusnya reject bagaimana nasibnya mas yang kayak begini tidak boleh dinormalisasi saya maklum kalau sistemnya tidak sanggup mengakomodir orang banyak karena juga buatan manusia tapi minimal kasih solusi yang sama-sama menguntungkan kalau begini kesannya menguntungkan pihak msib saja mitra dan mahasiswa yang rugi terutama mahasiswa,0,0,0,0,0
@azzam.wahyudin Oalah soalnya kan di kriteria syarat pendaftaran itu minimal semester 5,oalah soalnya kan di kriteria syarat pendaftaran itu minimal semester,0,1,1,1,1
"Gmna mau trima tawaran, stts aja masih diproses smpe skrg ð¢",bagaimana mau terima tawaran stts saja masih diproses sampai sekarang,1,0,0,0,0
@nadiairn di php wkwk,di php wkwk,1,0,0,0,1
@theorifai tapi kalau sudah pake yang asli semua tapi tetep masih gak ada kejelasan itu bagaimana,tapi kalau sudah pakai yang asli semua tapi tetap masih tidak ada kejelasan itu bagaimana,2,0,0,0,0
@juaniko_kristianto bukan mimin hehe... oh iya kalo dari dosen wali saya katanya bisa sampe sem 7 sih,bukan admin he oh iya kalau dari dosen wali saya katanya bisa sampai sem sih,1,1,1,0,0
"@theorifai Info resmi dr story pihak msib banding bukan revisi lho tapi upload berkas yang sama. Itu yg jadi pegangan. Kalau emang diperbolehkan upload file revisi dan diloloskan berarti memang pihak penyelenggaranya yg tidak konsisten dan merugikan yang lain donk. Udah tau ini rekruitmen besarÂ²an kenapa ga memantapkan sistem? Tim seleksi juga coba donk memposisikan mahasiswa yg harusnya ga kena reject malah kereject gegara error dari mereka. Harus win win solution, ga bisa win satu pihak doankð",informasi resmi dari story pihak msib banding bukan revisi lho tapi upload berkas yang sama itu yang jadi pegangan kalau memang diperbolehkan upload file revisi dan diloloskan berarti memang pihak penyelenggaranya yang tidak konsisten dan merugikan yang lain dong sudah tahu ini rekruitmen besaran kenapa tidak memantapkan sistem tim seleksi juga coba dong memposisikan mahasiswa yang harusnya tidak kena reject bahkan kereject gegara error dari mereka harus win win solution tidak bisa win satu pihak doang,2,0,0,0,0
@poetriwdr belum,belum,1,0,1,0,0
Maaf min kmrn saya dinyatakan diterima tapi hari selasa malam jam 7 saya dapat wa kalau saya ngk lolos karena sudah ditutup oleh kemendikbud.. Ini 2 hari untuk apa min?,maaf min kemarin saya dinyatakan diterima tapi hari selasa malam jam saya dapat wa kalau saya tidak lolos karena sudah ditutup oleh kemendikbud ini hari untuk apa min,0,1,1,1,1
@dianicoputra tp udah dapat undangan onboarding di email blm bang?,tapi sudah dapat undangan onboarding di email belum bang,1,1,1,1,1
Gk ada offering ð¢,tidak ada offering,1,1,0,2,0
"udah mau offering sama perusahaan tapi tiba tiba SPTJM saya di nyatakan tidak verified, padahal sebelumnya sudah verified...gimana toh min ?ð¢",sudah mau offering sama perusahaan tapi tiba tiba sptjm saya di menyatakan tidak verified padahal sebelumnya sudah verifiedgimana toh min,0,0,0,0,0
@azzam.wahyudin ini saya melangkah ke semeter 6 min,ini saya melangkah ke semeter min,1,1,1,1,1
Semoga 2 hari tidak mengecewakanð¢,semoga hari tidak mengecewakan,1,2,1,2,2
"Hilih min min, gagal dapet offering karena surat hmm, mending gak usah ngasih info deh",hilih min min gagal dapat offering karena surat hmm lebih baik tidak perlu mengasih informasi deh,1,0,0,0,0
"Kak, kalau belum ada tawaran yang muncul bagaimna?",kak kalau belum ada tawaran yang muncul bagaimana,1,1,1,0,1
@syn_gts_ iyaaa samaa diproses muluu,iya sama diproses muluu,2,0,0,0,0
@ belajar menerima kondisi ya kak. Ga semua yg kita harapkan terwujud. ð,belajar menerima kondisi iya kak tidak semua yang kita harapkan terwujud,1,0,1,0,0
@bro.swryz beberapa kasus yg pernah ditemui adalah misal ni ketika scan cuma pakai hp dan blur. Ada jg cap yg ga kelihatan jadi dianggap ga ada cap. Banding kemarin sebagian besar mengupload ulang file loh. Belajar aja mas lebih legowo. Coba diposisikan sebagai tim seleksi yg sortir puluhan ribu berkas. Kalau salah dikit aja ya langsung gugurkan?,beberapa kasus yang pernah ditemui adalah misal ini ketika scan cuma pakai hp dan blur ada juga cap yang tidak kelihatan jadi dianggap tidak ada cap banding kemarin sebagian besar mengupload ulang file loh belajar saja mas lebih legowo coba diposisikan sebagai tim seleksi yang sortir puluhan ribu berkas kalau salah dikit saja iya langsung gugurkan,2,0,0,0,0
kalo masih diproses gimanaaa,kalau masih diproses gimanaaa,1,0,0,0,0
@theorifai mereka  tidak akan paham rasanya berharap tapi kepastian ga akan pernah datang.sabar aja teruss terus dan terus,mereka tidak akan paham rasanya berharap tapi kepastian tidak akan pernah datangsabar saja terus terus dan terus,1,0,2,0,0
"Yang masih dalam tulisan ""diproses sampai kiamat"" angkat tangan ââââ.dahlah min jangan posting posting ""masih ada kesempatan ambil tawaran "" tawaran opo bagi kami yang masih diproses ini? Sakit tau bacanya. Jadi teringat prosesnya tapi hasil nihil sampai sekarang.dahlah Mimin tidak akan paham ð",yang masih dalam tulisan diproses sampai kiamat angkat tangan dahlah min jangan posting posting masih ada kesempatan ambil tawaran tawaran opo bagi kami yang masih diproses ini sakit tahu bacanya jadi teringat prosesnya tapi hasil nihil sampai sekarangdahlah admin tidak akan paham,2,0,0,0,0
"Kalau mimang ada kebijakan baru, tolong di infokan jauh jauh hari, jangan mendadak. Saya gagal magang karena sptjm saya tidak eligible",kalau mimang ada kebijakan baru tolong di infokan jauh jauh hari jangan mendadak saya gagal magang karena sptjm saya tidak eligible,2,0,0,0,0
@faakersss_ iya,iya,1,2,1,0,1
@yunpnzr betul.,betul,2,2,1,2,0
@theorifai mereka beruntung sih gak kena UU pemalsuan dokumen,mereka beruntung sih tidak kena uu pemalsuan dokumen,2,2,2,2,2
@faakersss_ oh iya gua lupa kalau lagi di Indonesia ð,oh iya saya lupa kalau lagi di indonesia,1,1,1,0,1
"@ahmadifatahillah next coba ikuti petunjuk dan kaidah yang sudah di berikan. Di acc kampus bukan berarti kampus jg paham prosedurnya gmn, kalian yg berproses dan kalian jg yg harus teliti. Btw di batch sebelumnya banyak loh mahasiswa yg asal asalan bikin SR dan SPTJM sehingga mitra harus buat laporan dan minta ybs revisi. Alhasil SK mahasiswa telat dan uang saku jg telat. Ribet emang. Coba berfikir kita di posisi msib",lanjut coba ikuti petunjuk dan kaidah yang sudah di berikan di accord kampus bukan berarti kampus juga paham prosedurnya bagaimana kalian yang berproses dan kalian juga yang harus teliti ngomong-ngomong di batch sebelumnya banyak loh mahasiswa yang asal asalan bikin sr dan sptjm sehingga mitra harus buat laporan dan meminta ybs revisi alhasil suka mahasiswa terlambat dan uang saku juga terlambat ribet memang coba berpikir kita di posisi msib,0,0,0,0,0
@annn_derscore wah sayang kali,wah sayang kali,2,2,2,2,0
"Saya belom dapet email atau wa dari mitra, artinya apa bang messi? saya ga lolos? di kampus merdeka juga keterangan nya masih di proses",saya belum dapat email atau wa dari mitra artinya apa bang messi saya tidak lolos di kampus merdeka juga keterangan nya masih di proses,1,1,1,1,0
"Maless sama berkasssss 
Garagara berkas gue gaklolos mitra",maless sama berkasssss garagara berkas saya gaklolos mitra,1,0,0,0,0
"Udah sampe tahap mcu, terus dighosting :"") minimal saya tau hasil mcu nya gitu kak saya kan jadi ga nunggu dan berharap ð¥º",sudah sampai tahap mcu terus dighosting minimal saya tahu hasil mcu nya begitu kak saya kan jadi tidak menunggu dan berharap,0,1,1,0,2
@endang_hendayatna keterima kah?,keterima kah,1,0,1,2,1
"@theorifai Kenapa ga mengubah mainset untuk melihat semua hal dari sudut pandang lain? Banyak dokumen yang sudah benar tapi disalahkan. Buktinya banyak berhasilnya banding yang diajukan oleh mahasiswa. Kalau banding berhasil brati logikanya ketika pengecekkan awal terdapat kesalahan dr pihak verifikator lalu direcheck kembali dan menjadi benar. Itu fakta di lapangan, mas.",kenapa tidak mengubah mainset untuk melihat semua hal dari sudut pandang lain banyak dokumen yang sudah benar tapi disalahkan buktinya banyak berhasilnya banding yang diajukan oleh mahasiswa kalau banding berhasil brati logikanya ketika pengecekkan awal terdapat kesalahan dari pihak verifikator lalu direcheck kembali dan menjadi benar itu fakta di lapangan mas,2,0,0,0,0
"Nolak yang lain demi nunggu kejelasan eh ternyata ujung "" nya proses terus ð",nolak yang lain demi menunggu kejelasan eh ternyata ujung nya proses terus,1,0,0,0,0
@yunpnzr pernah sih nemu SPTJM yg materainya di palsu dari jpg ððð,pernah sih nemu sptjm yang materainya di palsu dari jpg,0,1,1,0,0
"@juaniko_kristianto buka tiap semester kok, coba aja nanti semester 5",buka tiap semester kok coba saja nanti semester,1,1,1,0,1
Ini liat nya dimanasii ð­ð­,ini lihat nya dimanasii,1,0,1,1,2
@rahman_andika05 semangat kak,semangat kak,1,2,1,2,2
Yang lagi proses gimana min. Apa masih ada kesempatan kelulusan?,yang lagi proses bagaimana min apa masih ada kesempatan kelulusan,1,1,1,0,0
"@yunpnzr satu lagi, jangan melakukan pemalsuan materai",satu lagi jangan melakukan pemalsuan materai,2,1,1,1,1
@nadiairn jadi ga lolos nih ð¢,jadi tidak lolos ini,1,0,0,0,0
"makanya ikutin persyaratannya, scan yang bener, jangan ubah template, jangan ubah poin, periksa butir tiap butir yang dibutuhkan",makanya mengikuti persyaratannya scan yang benar jangan ubah template jangan ubah poin periksa butir tiap butir yang dibutuhkan,1,1,1,1,1
@theorifai bener apa lagi kalau gak linear malah penuhin kuota ajaðyang pengen masuk kan bukan dia aja wkwkwkwkw,benar apa lagi kalau tidak linear bahkan penuhin kuota ajayang pengin masuk kan bukan dia saja wkwkwkwkw,2,0,0,0,0
@annn_derscore tuges bombe lebih Drpd ituð,tuges bombe lebih daripada itu,2,0,1,0,0
@theorifai iyhh bg abang suratnya di acc soalnya. gatau rasanya udh bikin surat bener tp di rijek,iyhh bang abang suratnya di accord soalnya enggak tau rasanya sudah bikin surat benar tapi di rijek,1,0,0,0,0
"3 posisi BPJS gada kejelasan sama sekali di antaranya staf penata madya, staf analis human capital sama marketing :)",posisi bpjs enggak ada kejelasan sama sekali di antaranya staf penata madya staf analis human capital sama marketing,1,0,1,1,1
Mau tanya min kalau tempat magangnya gak ada di web kampus merdeka gimana ya?,mau tanya min kalau tempat magangnya tidak ada di web kampus merdeka bagaimana iya,1,1,1,1,1
"Kocak magang nih, minimal taro  TIDAK LOLOS spya tg tra berharap ðð»ðð»ðð» @nngs._",kocak magang ini minimal taro tidak lolos spya tg tra berharap,2,0,0,0,0
"@nofgl_16 jangan salah bung, kita ni org2 pilihan. kalau org keluar, kita lari masuk.",jangan salah bung kita ini orang-orang pilihan kalau orang keluar kita lari masuk,1,0,0,0,0
Diproses terossss fix ga keterima,diproses terus fix tidak keterima,1,1,0,1,0
Yang ngak dapat sesi ini tetap semangat utk yang akan datang yah,yang tidak dapat sesi ini tetap semangat untuk yang akan datang iya,2,2,2,1,1
@m_arkhan_f_ iyap harusnya,iya harusnya,1,2,1,0,1
Dear @magangmerdeka  bagaimana mengetahui di terima dan gak diterima kalau di ghosting di web mbkm dan juga sama PT perusahaan ðð» mohon kejelasannya,dear bagaimana mengetahui di terima dan tidak diterima kalau di ghosting di web mbkm dan juga sama pt perusahaan mohon kejelasannya,1,1,1,1,1
"@theorifai makannya saya berharap ada statement resmi dari pihak MSIB terkait ini, disamping ketidakjelasan itu, tidak ada opsi perbaikan dokumen bahkan pengajuan banding dari PTN pun tidak ada tanggapan.",makannya saya berharap ada statement resmi dari pihak msib terkait ini disamping ketidakjelasan itu tidak ada opsi perbaikan dokumen bahkan pengajuan banding dari ptn pun tidak ada tanggapan,1,1,1,0,0
@nggiiuu yg msh diproses tu artinya ditolak kah?,yang masih diproses itu artinya ditolak kah,1,0,0,0,0
@theorifai acuan benarnya seperti apa? Dokumen yang sama dengan kami pun ada yang lolos. Lantas âyang benarâ itu seperti apa?,acuan benarnya seperti apa dokumen yang sama dengan kami pun ada yang lolos lantas yang benar itu seperti apa,1,0,0,0,0
@pradana.du saran buat mahasiswa cobalah mendaftar yang sesuai persyaratan dan ga cuma klik daftar ð,saran buat mahasiswa cobalah mendaftar yang sesuai persyaratan dan tidak cuma klik daftar,1,1,1,1,1
"Aku yg harus berat hati menolak tawaran di salah satu perusahaan CT corps karena kesehatan dan harus bulak balik RS sampai entah kapan, padahal ini salah satu impian, semoga masih bisa ada kesempatan di MSIB batch 5 aamiin ð­ð­ð­",aku yang harus berat hati menolak tawaran di salah satu perusahaan ct corps karena kesehatan dan harus bulak balik rs sampai entah kapan padahal ini salah satu impian semoga masih bisa ada kesempatan di msib batch amin,0,2,2,0,2
Ku berharap... Tapi boong,ku berharap tapi bohong,1,0,0,0,0
Kesempatan terakhir aku ð¥º,kesempatan terakhir aku,1,1,1,1,1
@grc.vic04 gpp kak belajar bahwa ga semua loker yang km daftar bisa menerimamu,enggak apa-apa kak belajar bahwa tidak semua loker yang kamu daftar bisa menerimamu,2,0,1,0,1
Kenapa ga mengubah mainset untuk membuat dokumen dgn benar dan ga asal asalan apply???,kenapa tidak mengubah mainset untuk membuat dokumen dengan benar dan tidak asal asalan apply,1,2,1,0,0
@adrian_syahhh22 Minyak gan ðð»,minyak juragan,1,2,1,2,1
"Pengalamanku yg statusnya di proses biasanya ga linier, cv dan porto ga menarik dan terakhir ga eligible",pengalamanku yang statusnya di proses biasanya tidak linier cv dan porto tidak menarik dan terakhir tidak eligible,0,0,0,0,0
"Gimana nih min udah dinyatakan lolos lewat web, udah jadi kegiatan aktif, tapi gaada kelanjutan dari mitra, ditanyain eh ternyata ga eligible, kalo emamg ga eligible gausah dinyatakan lolos ajah sekalian",bagaimana ini min sudah dinyatakan lolos lewat web sudah jadi kegiatan aktif tapi enggak ada kelanjutan dari mitra ditanyain eh ternyata tidak eligible kalau emamg tidak eligible enggak usah dinyatakan lolos saja sekalian,0,0,0,0,0
"Cie ga diterima, cie akuð",cie tidak diterima cie aku,1,0,0,0,0
