,comment,clean,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
127,"@theorifai hoki itu adalah mitos. Yang ada adalah salah satu atau kedua belah pihak yg salah. Okelah bagi temen temen mahaiswa yang lolos kemudian. Lalu bagaimana dengan mahasiswa lain yang padahal isi dokumennya sama (cuma beda di informasi pribadi) tapi tidak lulus? Berarti ada kesalahan saat verifikasi dong? Kan tadi abang bilang kalau panitia harus ngurusin puluhan ribu berkas kan, berarti ada celah human error dari pihak MSIB. Lalu kenapa tetap memiliki pandangan bahwa kami yang tidak teliti dan asal asaln?",hoki itu adalah mitos yang ada adalah salah satu atau kedua belah pihak yang salah okelah bagi teman teman mahaiswa yang lolos kemudian lalu bagaimana dengan mahasiswa lain yang padahal isi dokumennya sama cuma beda di informasi pribadi tapi tidak lulus berarti ada kesalahan saat verifikasi dong kan tadi abang bilang kalau panitia harus mengurusi puluhan ribu berkas kan berarti ada celah human error dari pihak msib lalu kenapa tetap memiliki pandangan bahwa kami yang tidak teliti dan asal asaln,Negatif,Negatif,Negatif,negative,negative
128,lucu. udah on boarding masi aja offering. apa2 di perpanjang yaa. giliran seleksi berkas yang mendadak cuma diperpanjang itungan jam,lucu sudah on boarding masih saja offering apa-apa di perpanjang iya giliran seleksi berkas yang mendadak cuma diperpanjang hitungan jam,Positif,Negatif,Negatif,negative,negative
129,@bro.swryz padahal mahasiswa mana yang daftar MSIB asal asalan. Informasi dan sistem yg kurang malah lempar batu sembunyi tangan. Ujung ujungnya mahasiswa lagi yang harus ngalah dan “salah” menurut mereka.,padahal mahasiswa mana yang daftar msib asal asalan informasi dan sistem yang kurang bahkan lempar batu sembunyi tangan ujung ujungnya mahasiswa lagi yang harus mengalah dan salah menurut mereka,Negatif,Negatif,Negatif,negative,negative
130,"@bro.swryz pantesan kacau bro, wong salah satu panitianya aja gini, bukannya minta maaf malah nyalahin dan menganggap kesalahan adalah sebuah hal yg biasa wkwkwk",pantesan kacau saudara laki-laki wong salah satu panitianya saja begini bukannya meminta maaf bahkan menyalahkan dan menganggap kesalahan adalah sebuah hal yang biasa wkwkwk,Positif,Negatif,Negatif,negative,negative
131,"@theorifai Saya kembali jelaskan konsep banding sesuai story official akun msib pada 27 Januari 2023 lalu bahwa banding itu bukan revisi, tapi crosscheck dokumen kembali. Jadi harusnya ga ada yg berubah dr dokumennya, hanya hasil crosschecknya yang berubah. Tapi saya juga gatau kalau ternyata diperbolehkan dan diluluskan ketika mengunggah dokumen revisi. Berarti pihak msib ga konsisten kalau itu benar terjadi. Trus kalau masnya melabeling semua yg reject itu asal - asalan, apa kabar yang lolos banding?😂 Bisa dibilang ada kesalahan sistem saat verifikasi pertama lalu dicek kembali melalui banding. Kesimpulannya belum tentu yang reject asal²an, bukan? Nah sayangnya tidak sedikit yang mengetahui info banding ini, bahkan di mitra saya kemarin ada yang hingga tgl 28 Januari 2023 statusnya masih dalam review. Kan gambling kalau gini.",saya kembali jelaskan konsep banding sesuai story official akun msib pada januari lalu bahwa banding itu bukan revisi tapi crosscheck dokumen kembali jadi harusnya tidak ada yang berubah dari dokumennya hanya hasil crosschecknya yang berubah tapi saya juga enggak tau kalau ternyata diperbolehkan dan diluluskan ketika mengunggah dokumen revisi berarti pihak msib tidak konsisten kalau itu benar terjadi terus kalau masnya melabeling semua yang reject itu asal asalan apa kabar yang lolos banding bisa dibilang ada kesalahan sistem saat verifikasi pertama lalu dicek kembali melalui banding kesimpulannya belum tentu yang reject asalan bukan nah sayangnya tidak sedikit yang mengetahui informasi banding ini bahkan di mitra saya kemarin ada yang hingga tanggal januari statusnya masih dalam review kan gambling kalau begini,Positif,Negatif,Negatif,negative,negative
132,"@tamhaikall klo skrg, positif g lolos sih bang. Klo kmrn2 tuh baru gaje",kalau sekarang positif tidak lolos sih bang kalau kmrn2 tuh baru enggak jelas,Positif,Negatif,Negatif,negative,negative
133,"@theorifai mengingat ini program pemerintah, sistemnya harusnya bisa lebih efisien sih. Klo emg dr mitra dirasa udh cukup kandidatnya, bisa lansung reject all aja. Mhs jg g ngelewatin TERLALU BANYAK KESEMPATAN krn masih digantung MSIB. Soalnya kata kampus ""jgn serakah, tunggu dulu satu, baru ambil yg lain"" kan mhs jg serba bingung",mengingat ini program pemerintah sistemnya harusnya bisa lebih efisien sih kalau memang dari mitra dirasa sudah cukup kandidatnya bisa lansung reject all saja mhs juga tidak ngelewatin terlalu banyak kesempatan karena masih digantung msib soalnya kata kampus jangan serakah tunggu dulu satu baru ambil yang lain kan mhs juga serba bingung,Positif,Negatif,Negatif,negative,negative
134,"Ga ada notif lulus tidaknya min,,,diproses trus😢😢😢",tidak ada notif lulus tidaknya mindiproses terus,Netral,Negatif,Negatif,negative,negative
135,"@theorifai Loh iya memang😂, tapi buktinya banyak yg emang bersungguh² tapi hampir gagal bahkan gagal di berkas gara² sistem. Yang jadi concern saya bagian ini. Saya tekankan jangan labeling semua yang gagal itu sengaja salah atau berniat memalsukan berkas. Wong banyak juga yang hasil bandingnya lolos. Berarti kan sebenernya dia ga salah tapi dianggap salah lalu dikoreksi kembali jadi benar😂",loh iya memang tapi buktinya banyak yang memang bersungguh tapi hampir gagal bahkan gagal di berkas gara sistem yang jadi concern saya bagian ini saya tekankan jangan labeling semua yang gagal itu sengaja salah atau berniat memalsukan berkas wong banyak juga yang hasil bandingnya lolos berarti kan sebenarnya dia tidak salah tapi dianggap salah lalu dikoreksi kembali jadi benar,Negatif,Negatif,Negatif,negative,negative
136,"Serius, ini testimoni kating saya. MBKM cuma buat formalitas program pemerintah & ajang pamer2an univ atas syp yg paling banyak mahasiswanya diterima di program pemerintah. Sampe2 program magang mandiri dihapus (klo d fakultas saya sih gitu) biar ngikut pemerintah aja. Jadi yg g MBKM, kena cap ga punya peluang. Pdhl krn peluang yg lain dipaksa ditutup. Gembar-gembor dipromosiin, mindset mhs dibikin seolah MBKM itu segalanya buat mhs, pdhl realita pelaksanaannya banyak pihak yg masih acuh. Kurang koordinasi. Kurang sosialisasi. Harusnya saya dengerin testimoni dr kating saya itu. Karena realitanya 100% akurat. Ga semanis yg dijanjikan. DI MANA MERDEKA NYA?",serius ini testimoni kating saya mbkm cuma buat formalitas program pemerintah ajang pamer2an universitas atas siapa yang paling banyak mahasiswanya diterima di program pemerintah sampe2 program magang mandiri dihapus kalau di fakultas saya sih begitu biar ikut pemerintah saja jadi yang tidak mbkm kena cap tidak punya peluang padahal karena peluang yang lain dipaksa ditutup gembargembor dipromosiin mindset mhs dibikin seolah mbkm itu segalanya buat mhs padahal realita pelaksanaannya banyak pihak yang masih acuh kurang koordinasi kurang sosialisasi harusnya saya mendengarkan testimoni dari kating saya itu karena realitanya akurat tidak semanis yang dijanjikan di mana merdeka nya,Positif,Negatif,Negatif,negative,negative
137,"@theorifai lahh bang, lu pikir semua itu asal2an huh? Gimana gue yg udh nyiapin bener2 jauh2 hari dan detail hah?",lah bang kamu pikir semua itu asal2an huh bagaimana saya yang sudah mempersiapkan benar-benar jauh2 hari dan detail hah,Negatif,Negatif,Negatif,negative,negative
138,"@bro.swryz kalau bersungguh2 kan berarti memang mempersiapkan dgn baik kan? Ga asal scan dan comot materai dll? Ga asal apply, ga hobi mepet dedline.  Hoki lebih memihak bagi mereka yg bersungguh2.",kalau bersungguh2 kan berarti memang mempersiapkan dengan baik kan tidak asal scan dan comot materai dan lain-lain tidak asal apply tidak hobi dekat sekali dedline hoki lebih memihak bagi mereka yang bersungguh2,Negatif,Negatif,Positif,positive,positive
140,"Kalo blm lulus, Yah sudahlah blm rejeki 🙂",kalau belum lulus iya sudahlah belum rezeki,Netral,Negatif,Negatif,negative,negative
141,"@juaniko_kristianto iya minimal smt 5, berarti 5,6,7,8 dst pasti bisa mas. Asal gak bentrok dengan jadwal lain seperti kkn, skripsi, atau wisuda.",iya minimal smt berarti dan seterusnya pasti bisa mas asal tidak bentrok dengan jadwal lain seperti kkn skripsi atau wisuda,Negatif,Netral,Netral,neutral,neutral
142,"@frontry_rama tapi... dr MSIB jg g jelas kak... Ini mhs nasional loh yg kena prank, bukan satu-dua perusahaan yg males ACC",tapi dari msib juga tidak jelas kak ini mhs nasional loh yang kena prank bukan satudua perusahaan yang malas accord,Negatif,Negatif,Negatif,negative,negative
143,Bintang 1,bintang,Netral,Positif,Positif,positive,positive
144,"Masih diproses, sepertinya saya gagal magang lagi 😂",masih diproses sepertinya saya gagal magang lagi,Negatif,Negatif,Negatif,negative,negative
145,Ayo dong min kejelasannya gimana,ayo dong min kejelasannya bagaimana,Netral,Netral,Netral,negative,negative
146,"Pak @nadiemmakarim kami di gantung, mau nanya tapi No Dm Service. Nanya di web Kampus Merdeka ga ada Balasan😑",pak kami di gantung mau bertanya tapi no dm service bertanya di web kampus merdeka tidak ada balasan,Netral,Netral,Netral,neutral,negative
148,"Emg bener kata sebelah ""diam adalah emas""👏",memang benar kata sebelah diam adalah emas,Positif,Positif,Negatif,negative,negative
149,@rijalulmufty_1 iya nihh ga ada kepastian lolos atau engga nih,iya ini tidak ada kepastian lolos atau tidak ini,Netral,Negatif,Netral,negative,neutral
151,@bagjha__ samanya kita,samanya kita,Netral,Positif,Netral,positive,neutral
153,"@pradana.du IYA SETUJUU BGTT. TRANSPARAN DONG KLO DI TOLAK, JGN BIKIN ORANG NUNGGU @magangmerdeka @puslapdik_dikbud @nadiemmakarim",iya setujuu banget transparan dong kalau di tolak jangan bikin orang menunggu,Positif,Negatif,Netral,negative,negative
154,@dianicoputra aminnn,amin,Netral,Positif,Positif,positive,positive
155,"@3ci___3 betul. Bukannya gabisa belajar nerima, kita jg ga cuman berharap doang, usaha kita juga jadinya ngecewain hasil",betul bukannya enggak bisa belajar menerima kita juga tidak cuman berharap doang usaha kita juga jadinya ngecewain hasil,Positif,Negatif,Negatif,negative,negative
156,"Kalo ga lolos umumin pliss, biar aku bisa lanjut penelitian nih 😭😭",kalau tidak lolos umumin pliss biar aku bisa lanjut penelitian ini,Positif,Netral,Netral,neutral,neutral
157,kak kok ini proses melulu gaada email apapun,kak kok ini proses melulu enggak ada email apapun,Netral,Negatif,Negatif,negative,negative
158,"@bchanh18_ casenya sama ya mas berarti, semoga segera ada kejelasan",casenya sama iya mas berarti semoga segera ada kejelasan,Negatif,Netral,Netral,negative,neutral
159,@pradana.du betul,betul,Positif,Positif,Positif,positive,positive
160,kak kenapa yang saya masih proses aja yaa,kak kenapa yang saya masih proses saja iya,Netral,Netral,Netral,negative,negative
161,"Berharap sih min ada keajaiban, dari tulisan di proses, lalu ada kepastian. :( Kalau di proses terus kan kami juga bingung, ada kesempatan lain yang udah di lepas, untuk MSIB ternyata, dari MSIB belum ada kabar yang pasti.",berharap sih min ada keajaiban dari tulisan di proses lalu ada kepastian kalau di proses terus kan kami juga bingung ada kesempatan lain yang sudah di lepas untuk msib ternyata dari msib belum ada kabar yang pasti,Negatif,Negatif,Negatif,negative,negative
162,"@dianicoputra maaf mas izin komentar. Saya juga seperti ini kasusnya, sudah dinyatakan lolos dari web tetapi tidak dapat invitation onboarding dan nama saya di mitra juga tidak ada. Tetapi dari pihak recruitment mitra menyatakan saya lolos. Sampai bingung harus bagaimana dan berujung saya sudah terlanjur tidak melanjutkan pendaftaran ke tempat lain. Saya doakan yang terbaik juga utk masnya ya🙏🏻",maaf mas izin komentar saya juga seperti ini kasusnya sudah dinyatakan lolos dari web tetapi tidak dapat invitation onboarding dan nama saya di mitra juga tidak ada tetapi dari pihak recruitment mitra menyatakan saya lolos sampai bingung harus bagaimana dan berujung saya sudah terlanjur tidak melanjutkan pendaftaran ke tempat lain saya doakan yang terbaik juga untuk masnya iya,Positif,Positif,Negatif,negative,negative
163,"Berharap sih min ada keajaiban, dari tulisan di proses, lalu ada kepastian. :( Kalau di proses terus kan kami juga bingung, ada kesempatan lain yang udah di lepas, untuk MSIB ternyata, dari MSIB belum ada kabar yang pasti.",berharap sih min ada keajaiban dari tulisan di proses lalu ada kepastian kalau di proses terus kan kami juga bingung ada kesempatan lain yang sudah di lepas untuk msib ternyata dari msib belum ada kabar yang pasti,Negatif,Negatif,Negatif,negative,negative
164,"Isoke bro, gw juga korbannya. Biar tuhan yang membalas mereka semua nanti semoga setelah kerja nanti kita bisa meninggalkan negeri ini untuk dapat kehidupan yang layak dan lebih dihargai🙌",isoke saudara laki-laki saya juga korbannya biar tuhan yang membalas mereka semua nanti semoga setelah kerja nanti kita bisa meninggalkan negeri ini untuk dapat kehidupan yang layak dan lebih dihargai,Positif,Positif,Positif,negative,negative
166,Min @magangmerdeka kalo di web tulisannya di proses terus bagaimana ya? Padahal dapet email ketrima,min kalau di web tulisannya di proses terus bagaimana iya padahal dapat email diterima,Netral,Netral,Netral,negative,negative
167,"semangat yg udah mulai masuk hari ini, semoga kesempatan baik nya menular ya",semangat yang sudah mulai masuk hari ini semoga kesempatan baik nya menular iya,Positif,Positif,Positif,positive,positive
168,"@theorifai Gabisa digeneralisasi juga, jatuhnya rugi buat mereka yang beneran bersungguh² dan memang seharusnya layak join program ini. Jatuhnya seleksi modal hoki. GWS buat negeri ini, membiasakan kebiasaan yang salah demi keuntungan satu pihak aja bahkan ada pihak yang masih menganggap ini wajar😂",enggak bisa digeneralisasi juga jatuhnya rugi buat mereka yang benaran bersungguh dan memang seharusnya layak join program ini jatuhnya seleksi modal hoki cepat sembuh buat negeri ini membiasakan kebiasaan yang salah demi keuntungan satu pihak saja bahkan ada pihak yang masih menganggap ini wajar,Positif,Negatif,Negatif,negative,negative
169,msib nya rusaaaakkk wkwk,msib nya rusaaaakkk wkwk,Netral,Negatif,Negatif,positive,positive
170,"@_andrieseprian yah pada akhirnya mahasiswa yang disalahkan, baik dari kampus bahkan ternyata dari kakak panitia MSIB nya terkait hal ini. Besar harapan kami untuk batch selanjutnya agar lebih baik sistemnya, kejelasannya, dan kerendahan hatinya untuk klarifikasi dengan mendengarkan tanpa menyalahkan. Saya paham betul bahwa tugas kakak kakak sangat berat, namun alangkah lebih baiknya untuk memberikan klarifikasi secara resmi jika ada kejadian seperti ini agar kami tidak berharap.",iya pada akhirnya mahasiswa yang disalahkan baik dari kampus bahkan ternyata dari kakak panitia msib nya terkait hal ini besar harapan kami untuk batch selanjutnya agar lebih baik sistemnya kejelasannya dan kerendahan hatinya untuk klarifikasi dengan mendengarkan tanpa menyalahkan saya paham betul bahwa tugas kakak kakak sangat berat namun alangkah lebih baiknya untuk memberikan klarifikasi secara resmi jika ada kejadian seperti ini agar kami tidak berharap,Positif,Negatif,Negatif,negative,negative
171,@bro.swryz sebenernya mau dibuka sampai hari inipun banding pasti mahasiswa banyak yang mepet2 revisi upload. Banyak loh mitra yg udah upload sejak tahun lalu tapi baru di approval awal tahun. Begitulah drama hidup nak. 😂,sebenarnya mau dibuka sampai hari inipun banding pasti mahasiswa banyak yang mepet2 revisi upload banyak loh mitra yang sudah upload sejak tahun lalu tapi baru di approval awal tahun begitulah drama hidup nak,Positif,Positif,Negatif,negative,negative
172,"@theorifai selain itu jawaban dari Helpdesk hanya menyuruh menunggu karena katanya masih proses seleksi, disamping itu banyak sekali mahasiswa yang tidak isi KRS karena sudah dinyatakan lolos oleh mitra. Sehingga kami menunggu adanya keputusan lolos/tidak lolosnya dari pihak MSIB yang sampai saat ini tidak ada jawaban pasti. Hingga pada akhirnya KRS kami bermasalah karena beberapa PT udah mulai pembelajaran. Selain itu helpdesk menyatakan kalau silakan menunggu karena kami akan menginformasikan lewat email. Dan semua informasi yang valid hanya berasal dari pihak MSIB bukan dari mitra. Padahal kami bahkan dapat info eligible/tidaknya dari mitra.",selain itu jawaban dari helpdesk hanya menyuruh menunggu karena katanya masih proses seleksi disamping itu banyak sekali mahasiswa yang tidak isi krs karena sudah dinyatakan lolos oleh mitra sehingga kami menunggu adanya keputusan lolostidak lolosnya dari pihak msib yang sampai saat ini tidak ada jawaban pasti hingga pada akhirnya krs kami bermasalah karena beberapa pt sudah mulai pembelajaran selain itu helpdesk menyatakan kalau silakan menunggu karena kami akan menginformasikan lewat email dan semua informasi yang valid hanya berasal dari pihak msib bukan dari mitra padahal kami bahkan dapat informasi eligibletidaknya dari mitra,Positif,Negatif,Negatif,negative,negative
173,"@theorifai Penutupan banding tgl 27 sore tapi di grup mitra saya ada yang sampai tanggal 28 status berkasnya masih on-review. Syukur dia lolos, andaikata statusnya reject bagaimana nasibnya, mas? Yang kaya gini ga boleh dinormalisasi. Saya maklum kalau sistemnya ga sanggup mengakomodir org banyak karena juga buatan manusia, tapi minimal kasih solusi yang sama2 menguntungkan. Kalau begini kesannya menguntungkan pihak msib aja. Mitra dan mahasiswa yang rugi. Terutama mahasiswa.",penutupan banding tanggal sore tapi di grup mitra saya ada yang sampai tanggal status berkasnya masih onreview syukur dia lolos andaikata statusnya reject bagaimana nasibnya mas yang kayak begini tidak boleh dinormalisasi saya maklum kalau sistemnya tidak sanggup mengakomodir orang banyak karena juga buatan manusia tapi minimal kasih solusi yang sama-sama menguntungkan kalau begini kesannya menguntungkan pihak msib saja mitra dan mahasiswa yang rugi terutama mahasiswa,Negatif,Negatif,Negatif,negative,negative
174,@azzam.wahyudin Oalah soalnya kan di kriteria syarat pendaftaran itu minimal semester 5,oalah soalnya kan di kriteria syarat pendaftaran itu minimal semester,Negatif,Netral,Netral,neutral,neutral
176,"Gmna mau trima tawaran, stts aja masih diproses smpe skrg 😢",bagaimana mau terima tawaran stts saja masih diproses sampai sekarang,Netral,Negatif,Negatif,negative,negative
177,@nadiairn di php wkwk,di php wkwk,Netral,Negatif,Negatif,negative,neutral
178,@theorifai tapi kalau sudah pake yang asli semua tapi tetep masih gak ada kejelasan itu bagaimana,tapi kalau sudah pakai yang asli semua tapi tetap masih tidak ada kejelasan itu bagaimana,Positif,Negatif,Negatif,negative,negative
179,@juaniko_kristianto bukan mimin hehe... oh iya kalo dari dosen wali saya katanya bisa sampe sem 7 sih,bukan admin he oh iya kalau dari dosen wali saya katanya bisa sampai sem sih,Netral,Netral,Netral,negative,negative
180,"@theorifai Info resmi dr story pihak msib banding bukan revisi lho tapi upload berkas yang sama. Itu yg jadi pegangan. Kalau emang diperbolehkan upload file revisi dan diloloskan berarti memang pihak penyelenggaranya yg tidak konsisten dan merugikan yang lain donk. Udah tau ini rekruitmen besar²an kenapa ga memantapkan sistem? Tim seleksi juga coba donk memposisikan mahasiswa yg harusnya ga kena reject malah kereject gegara error dari mereka. Harus win win solution, ga bisa win satu pihak doank😂",informasi resmi dari story pihak msib banding bukan revisi lho tapi upload berkas yang sama itu yang jadi pegangan kalau memang diperbolehkan upload file revisi dan diloloskan berarti memang pihak penyelenggaranya yang tidak konsisten dan merugikan yang lain dong sudah tahu ini rekruitmen besaran kenapa tidak memantapkan sistem tim seleksi juga coba dong memposisikan mahasiswa yang harusnya tidak kena reject bahkan kereject gegara error dari mereka harus win win solution tidak bisa win satu pihak doang,Positif,Negatif,Negatif,negative,negative
181,@poetriwdr belum,belum,Netral,Negatif,Netral,negative,negative
182,Maaf min kmrn saya dinyatakan diterima tapi hari selasa malam jam 7 saya dapat wa kalau saya ngk lolos karena sudah ditutup oleh kemendikbud.. Ini 2 hari untuk apa min?,maaf min kemarin saya dinyatakan diterima tapi hari selasa malam jam saya dapat wa kalau saya tidak lolos karena sudah ditutup oleh kemendikbud ini hari untuk apa min,Negatif,Netral,Netral,neutral,neutral
183,@dianicoputra tp udah dapat undangan onboarding di email blm bang?,tapi sudah dapat undangan onboarding di email belum bang,Netral,Netral,Netral,neutral,neutral
184,Gk ada offering 😢,tidak ada offering,Netral,Netral,Negatif,positive,negative
185,"udah mau offering sama perusahaan tapi tiba tiba SPTJM saya di nyatakan tidak verified, padahal sebelumnya sudah verified...gimana toh min ?😢",sudah mau offering sama perusahaan tapi tiba tiba sptjm saya di menyatakan tidak verified padahal sebelumnya sudah verifiedgimana toh min,Negatif,Negatif,Negatif,negative,negative
186,@azzam.wahyudin ini saya melangkah ke semeter 6 min,ini saya melangkah ke semeter min,Netral,Netral,Netral,neutral,neutral
187,Semoga 2 hari tidak mengecewakan😢,semoga hari tidak mengecewakan,Netral,Positif,Netral,positive,positive
188,"Hilih min min, gagal dapet offering karena surat hmm, mending gak usah ngasih info deh",hilih min min gagal dapat offering karena surat hmm lebih baik tidak perlu mengasih informasi deh,Netral,Negatif,Negatif,negative,negative
189,"Kak, kalau belum ada tawaran yang muncul bagaimna?",kak kalau belum ada tawaran yang muncul bagaimana,Netral,Netral,Netral,negative,neutral
190,@syn_gts_ iyaaa samaa diproses muluu,iya sama diproses muluu,Positif,Negatif,Negatif,negative,negative
191,@ belajar menerima kondisi ya kak. Ga semua yg kita harapkan terwujud. 😂,belajar menerima kondisi iya kak tidak semua yang kita harapkan terwujud,Netral,Negatif,Netral,negative,negative
192,@bro.swryz beberapa kasus yg pernah ditemui adalah misal ni ketika scan cuma pakai hp dan blur. Ada jg cap yg ga kelihatan jadi dianggap ga ada cap. Banding kemarin sebagian besar mengupload ulang file loh. Belajar aja mas lebih legowo. Coba diposisikan sebagai tim seleksi yg sortir puluhan ribu berkas. Kalau salah dikit aja ya langsung gugurkan?,beberapa kasus yang pernah ditemui adalah misal ini ketika scan cuma pakai hp dan blur ada juga cap yang tidak kelihatan jadi dianggap tidak ada cap banding kemarin sebagian besar mengupload ulang file loh belajar saja mas lebih legowo coba diposisikan sebagai tim seleksi yang sortir puluhan ribu berkas kalau salah dikit saja iya langsung gugurkan,Positif,Negatif,Negatif,negative,negative
193,kalo masih diproses gimanaaa,kalau masih diproses gimanaaa,Netral,Negatif,Negatif,negative,negative
194,@theorifai mereka  tidak akan paham rasanya berharap tapi kepastian ga akan pernah datang.sabar aja teruss terus dan terus,mereka tidak akan paham rasanya berharap tapi kepastian tidak akan pernah datangsabar saja terus terus dan terus,Netral,Negatif,Positif,negative,negative
195,"Yang masih dalam tulisan ""diproses sampai kiamat"" angkat tangan ✋✋✋✋.dahlah min jangan posting posting ""masih ada kesempatan ambil tawaran "" tawaran opo bagi kami yang masih diproses ini? Sakit tau bacanya. Jadi teringat prosesnya tapi hasil nihil sampai sekarang.dahlah Mimin tidak akan paham 💔",yang masih dalam tulisan diproses sampai kiamat angkat tangan dahlah min jangan posting posting masih ada kesempatan ambil tawaran tawaran opo bagi kami yang masih diproses ini sakit tahu bacanya jadi teringat prosesnya tapi hasil nihil sampai sekarangdahlah admin tidak akan paham,Positif,Negatif,Negatif,negative,negative
196,"Kalau mimang ada kebijakan baru, tolong di infokan jauh jauh hari, jangan mendadak. Saya gagal magang karena sptjm saya tidak eligible",kalau mimang ada kebijakan baru tolong di infokan jauh jauh hari jangan mendadak saya gagal magang karena sptjm saya tidak eligible,Positif,Negatif,Negatif,negative,negative
197,@faakersss_ iya,iya,Netral,Positif,Netral,negative,neutral
198,@yunpnzr betul.,betul,Positif,Positif,Netral,positive,negative
199,@theorifai mereka beruntung sih gak kena UU pemalsuan dokumen,mereka beruntung sih tidak kena uu pemalsuan dokumen,Positif,Positif,Positif,positive,positive
200,@faakersss_ oh iya gua lupa kalau lagi di Indonesia 😌,oh iya saya lupa kalau lagi di indonesia,Netral,Netral,Netral,negative,neutral
201,"@ahmadifatahillah next coba ikuti petunjuk dan kaidah yang sudah di berikan. Di acc kampus bukan berarti kampus jg paham prosedurnya gmn, kalian yg berproses dan kalian jg yg harus teliti. Btw di batch sebelumnya banyak loh mahasiswa yg asal asalan bikin SR dan SPTJM sehingga mitra harus buat laporan dan minta ybs revisi. Alhasil SK mahasiswa telat dan uang saku jg telat. Ribet emang. Coba berfikir kita di posisi msib",lanjut coba ikuti petunjuk dan kaidah yang sudah di berikan di accord kampus bukan berarti kampus juga paham prosedurnya bagaimana kalian yang berproses dan kalian juga yang harus teliti ngomong-ngomong di batch sebelumnya banyak loh mahasiswa yang asal asalan bikin sr dan sptjm sehingga mitra harus buat laporan dan meminta ybs revisi alhasil suka mahasiswa terlambat dan uang saku juga terlambat ribet memang coba berpikir kita di posisi msib,Negatif,Negatif,Negatif,negative,negative
202,@annn_derscore wah sayang kali,wah sayang kali,Positif,Positif,Positif,positive,negative
203,"Saya belom dapet email atau wa dari mitra, artinya apa bang messi? saya ga lolos? di kampus merdeka juga keterangan nya masih di proses",saya belum dapat email atau wa dari mitra artinya apa bang messi saya tidak lolos di kampus merdeka juga keterangan nya masih di proses,Netral,Netral,Netral,neutral,negative
204,"Maless sama berkasssss 
Garagara berkas gue gaklolos mitra",maless sama berkasssss garagara berkas saya gaklolos mitra,Netral,Negatif,Negatif,negative,negative
205,"Udah sampe tahap mcu, terus dighosting :"") minimal saya tau hasil mcu nya gitu kak saya kan jadi ga nunggu dan berharap 🥺",sudah sampai tahap mcu terus dighosting minimal saya tahu hasil mcu nya begitu kak saya kan jadi tidak menunggu dan berharap,Negatif,Netral,Netral,negative,positive
206,@endang_hendayatna keterima kah?,keterima kah,Netral,Negatif,Netral,positive,neutral
207,"@theorifai Kenapa ga mengubah mainset untuk melihat semua hal dari sudut pandang lain? Banyak dokumen yang sudah benar tapi disalahkan. Buktinya banyak berhasilnya banding yang diajukan oleh mahasiswa. Kalau banding berhasil brati logikanya ketika pengecekkan awal terdapat kesalahan dr pihak verifikator lalu direcheck kembali dan menjadi benar. Itu fakta di lapangan, mas.",kenapa tidak mengubah mainset untuk melihat semua hal dari sudut pandang lain banyak dokumen yang sudah benar tapi disalahkan buktinya banyak berhasilnya banding yang diajukan oleh mahasiswa kalau banding berhasil brati logikanya ketika pengecekkan awal terdapat kesalahan dari pihak verifikator lalu direcheck kembali dan menjadi benar itu fakta di lapangan mas,Positif,Negatif,Negatif,negative,negative
208,"Nolak yang lain demi nunggu kejelasan eh ternyata ujung "" nya proses terus 😌",nolak yang lain demi menunggu kejelasan eh ternyata ujung nya proses terus,Netral,Negatif,Negatif,negative,negative
209,@yunpnzr pernah sih nemu SPTJM yg materainya di palsu dari jpg 😂😂😂,pernah sih nemu sptjm yang materainya di palsu dari jpg,Negatif,Netral,Netral,negative,negative
210,"@juaniko_kristianto buka tiap semester kok, coba aja nanti semester 5",buka tiap semester kok coba saja nanti semester,Netral,Netral,Netral,negative,neutral
211,Ini liat nya dimanasii 😭😭,ini lihat nya dimanasii,Netral,Negatif,Netral,neutral,positive
212,@rahman_andika05 semangat kak,semangat kak,Netral,Positif,Netral,positive,positive
213,Yang lagi proses gimana min. Apa masih ada kesempatan kelulusan?,yang lagi proses bagaimana min apa masih ada kesempatan kelulusan,Netral,Netral,Netral,negative,negative
214,"@yunpnzr satu lagi, jangan melakukan pemalsuan materai",satu lagi jangan melakukan pemalsuan materai,Positif,Netral,Netral,neutral,neutral
215,@nadiairn jadi ga lolos nih 😢,jadi tidak lolos ini,Netral,Negatif,Negatif,negative,negative
216,"makanya ikutin persyaratannya, scan yang bener, jangan ubah template, jangan ubah poin, periksa butir tiap butir yang dibutuhkan",makanya mengikuti persyaratannya scan yang benar jangan ubah template jangan ubah poin periksa butir tiap butir yang dibutuhkan,Netral,Netral,Netral,neutral,neutral
217,@theorifai bener apa lagi kalau gak linear malah penuhin kuota aja😂yang pengen masuk kan bukan dia aja wkwkwkwkw,benar apa lagi kalau tidak linear bahkan penuhin kuota ajayang pengin masuk kan bukan dia saja wkwkwkwkw,Positif,Negatif,Negatif,negative,negative
218,@annn_derscore tuges bombe lebih Drpd itu😂,tuges bombe lebih daripada itu,Positif,Negatif,Netral,negative,negative
219,@theorifai iyhh bg abang suratnya di acc soalnya. gatau rasanya udh bikin surat bener tp di rijek,iyhh bang abang suratnya di accord soalnya enggak tau rasanya sudah bikin surat benar tapi di rijek,Netral,Negatif,Negatif,negative,negative
