comment,clean,label_manual,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
kak kenapa yang saya masih proses aja yaa,proses,1,Netral,Positif,Netral,negative,negative
"Berharap sih min ada keajaiban, dari tulisan di proses, lalu ada kepastian. :( Kalau di proses terus kan kami juga bingung, ada kesempatan lain yang udah di lepas, untuk MSIB ternyata, dari MSIB belum ada kabar yang pasti.",harap ajaib tulis proses pasti proses bingung sempat lepas msib msib kabar,0,Negatif,Netral,Negatif,negative,negative
"@dianicoputra maaf mas izin komentar. Saya juga seperti ini kasusnya, sudah dinyatakan lolos dari web tetapi tidak dapat invitation onboarding dan nama saya di mitra juga tidak ada. Tetapi dari pihak recruitment mitra menyatakan saya lolos. Sampai bingung harus bagaimana dan berujung saya sudah terlanjur tidak melanjutkan pendaftaran ke tempat lain. Saya doakan yang terbaik juga utk masnya yaOû",maaf izin komentar kasus nyata lolos web invitation onboarding nama mitra recruitment mitra lolos bingung ujung lanjur lanjut daftar doa baik mas,2,Negatif,Netral,Negatif,neutral,negative
"Berharap sih min ada keajaiban, dari tulisan di proses, lalu ada kepastian. :( Kalau di proses terus kan kami juga bingung, ada kesempatan lain yang udah di lepas, untuk MSIB ternyata, dari MSIB belum ada kabar yang pasti.",harap ajaib tulis proses pasti proses bingung sempat lepas msib msib kabar,0,Negatif,Netral,Negatif,negative,negative
"Isoke bro, gw juga korbannya. Biar tuhan yang membalas mereka semua nanti semoga setelah kerja nanti kita bisa meninggalkan negeri ini untuk dapat kehidupan yang layak dan lebih dihargaiL",isoke saudara laki korban biar tuhan balas moga kerja tinggal negeri hidup layak harga,0,Positif,Negatif,Positif,negative,negative
Min @magangmerdeka kalo di web tulisannya di proses terus bagaimana ya? Padahal dapet email ketrima,web tulis proses email terima,1,Netral,Netral,Netral,neutral,negative
"semangat yg udah mulai masuk hari ini, semoga kesempatan baik nya menular ya",semangat masuk moga sempat tular,2,Netral,Positif,Positif,positive,positive
"@theorifai Gabisa digeneralisasi juga, jatuhnya rugi buat mereka yang beneran bersungguh² dan memang seharusnya layak join program ini. Jatuhnya seleksi modal hoki. GWS buat negeri ini, membiasakan kebiasaan yang salah demi keuntungan satu pihak aja bahkan ada pihak yang masih menganggap ini wajar",enggak bisa generalisasi jatuh rugi benar sungguh layak join program jatuh seleksi modal hoki cepat sembuh negeri biasa biasa salah untung anggap wajar,0,Negatif,Positif,Negatif,negative,negative
msib nya rusaaaakkk wkwk,msib rusaaaakkk wkwk,0,Netral,Negatif,Negatif,negative,positive
"@_andrieseprian yah pada akhirnya mahasiswa yang disalahkan, baik dari kampus bahkan ternyata dari kakak panitia MSIB nya terkait hal ini. Besar harapan kami untuk batch selanjutnya agar lebih baik sistemnya, kejelasannya, dan kerendahan hatinya untuk klarifikasi dengan mendengarkan tanpa menyalahkan. Saya paham betul bahwa tugas kakak kakak sangat berat, namun alangkah lebih baiknya untuk memberikan klarifikasi secara resmi jika ada kejadian seperti ini agar kami tidak berharap.",mahasiswa salah kampus panitia msib kait harap batch sistem jelas rendah hati klarifikasi dengar salah paham tugas berat alangkah baik klarifikasi resmi jadi harap,2,Negatif,Negatif,Negatif,neutral,negative
@bro.swryz sebenernya mau dibuka sampai hari inipun banding pasti mahasiswa banyak yang mepet2 revisi upload. Banyak loh mitra yg udah upload sejak tahun lalu tapi baru di approval awal tahun. Begitulah drama hidup nak. ,buka ini banding mahasiswa mepet2 revisi upload loh mitra upload approval drama hidup nak,0,Netral,Negatif,Negatif,neutral,negative
"@theorifai selain itu jawaban dari Helpdesk hanya menyuruh menunggu karena katanya masih proses seleksi, disamping itu banyak sekali mahasiswa yang tidak isi KRS karena sudah dinyatakan lolos oleh mitra. Sehingga kami menunggu adanya keputusan lolos/tidak lolosnya dari pihak MSIB yang sampai saat ini tidak ada jawaban pasti. Hingga pada akhirnya KRS kami bermasalah karena beberapa PT udah mulai pembelajaran. Selain itu helpdesk menyatakan kalau silakan menunggu karena kami akan menginformasikan lewat email. Dan semua informasi yang valid hanya berasal dari pihak MSIB bukan dari mitra. Padahal kami bahkan dapat info eligible/tidaknya dari mitra.",helpdesk suruh tunggu proses seleksi samping mahasiswa isi krs nyata lolos mitra tunggu putus lolostidak lolos msib krs masalah pt ajar helpdesk sila tunggu informasi email informasi valid asal msib mitra informasi eligibletidaknya mitra,0,Positif,Netral,Negatif,neutral,negative
Maaf min kmrn saya dinyatakan diterima tapi hari selasa malam jam 7 saya dapat wa kalau saya ngk lolos karena sudah ditutup oleh kemendikbud.. Ini 2 hari untuk apa min?,maaf kemarin nyata terima selasa malam jam wa lolos tutup kemendikbud,1,Negatif,Netral,Netral,neutral,neutral
@dianicoputra tp udah dapat undangan onboarding di email blm bang?,undang onboarding email,1,Netral,Netral,Netral,negative,neutral
"Gk ada offering """,offering,0,Netral,Negatif,Negatif,negative,negative
"udah mau offering sama perusahaan tapi tiba tiba SPTJM saya di nyatakan tidak verified, padahal sebelumnya sudah verified...gimana toh min ?"",offering usaha sptjm verified verifiedgimana,0,Netral,Netral,Negatif,neutral,negative",moga kecewa,0,Negatif,Negatif,Netral,negative,positive
"Hilih min min, gagal dapet offering karena surat hmm, mending gak usah ngasih info deh",hilih gagal offering surat hmm lebih baik asih informasi deh,0,Positif,Negatif,Negatif,negative,negative
"Kak, kalau belum ada tawaran yang muncul bagaimna?",tawar muncul,1,Netral,Negatif,Netral,neutral,neutral
@syn_gts_ iyaaa samaa diproses muluu,proses muluu,1,Netral,Negatif,Negatif,negative,negative
@ belajar menerima kondisi ya kak. Ga semua yg kita harapkan terwujud. ,ajar terima kondisi harap wujud,2,Netral,Netral,Netral,neutral,negative
@bro.swryz beberapa kasus yg pernah ditemui adalah misal ni ketika scan cuma pakai hp dan blur. Ada jg cap yg ga kelihatan jadi dianggap ga ada cap. Banding kemarin sebagian besar mengupload ulang file loh. Belajar aja mas lebih legowo. Coba diposisikan sebagai tim seleksi yg sortir puluhan ribu berkas. Kalau salah dikit aja ya langsung gugurkan?,temu scan pakai hp blur cap anggap cap banding kemarin mengupload ulang file loh ajar legowo coba posisi tim seleksi sortir puluh ribu berkas salah dikit langsung gugur,2,Positif,Negatif,Negatif,neutral,negative
kalo masih diproses gimanaaa,proses gimanaaa,1,Netral,Negatif,Negatif,negative,negative
@theorifai mereka tidak akan paham rasanya berharap tapi kepastian ga akan pernah datang.sabar aja teruss terus dan terus,paham harap pasti datangsabar,2,Positif,Positif,Positif,positive,negative
"Yang masih dalam tulisan ""diproses sampai kiamat"" angkat tangan .dahlah min jangan posting posting ""masih ada kesempatan ambil tawaran "" tawaran opo bagi kami yang masih diproses ini? Sakit tau bacanya. Jadi teringat prosesnya tapi hasil nihil sampai sekarang.dahlah Mimin tidak akan paham ”",tulis proses kiamat angkat tangan dah posting posting sempat ambil tawar tawar opo proses sakit baca proses hasil nihil sekarangdahlah admin paham,0,Netral,Negatif,Negatif,negative,negative
"Kalau mimang ada kebijakan baru, tolong di infokan jauh jauh hari, jangan mendadak. Saya gagal magang karena sptjm saya tidak eligible",mimang bijak tolong info dadak gagal magang sptjm eligible,0,Positif,Negatif,Negatif,neutral,negative
@theorifai mereka beruntung sih gak kena UU pemalsuan dokumen,untung kena uu palsu dokumen,1,Negatif,Negatif,Positif,negative,positive
@faakersss_ oh iya gua lupa kalau lagi di Indonesia,oh lupa indonesia,0,Netral,Negatif,Netral,neutral,neutral
"@ahmadifatahillah next coba ikuti petunjuk dan kaidah yang sudah di berikan. Di acc kampus bukan berarti kampus jg paham prosedurnya gmn, kalian yg berproses dan kalian jg yg harus teliti. Btw di batch sebelumnya banyak loh mahasiswa yg asal asalan bikin SR dan SPTJM sehingga mitra harus buat laporan dan minta ybs revisi. Alhasil SK mahasiswa telat dan uang saku jg telat. Ribet emang. Coba berfikir kita di posisi msib",coba ikut tunjuk kaidah accord kampus kampus paham prosedur proses teliti ngomong-ngomong batch loh mahasiswa asal bikin sr sptjm mitra lapor ybs revisi alhasil suka mahasiswa lambat uang saku lambat ribet coba pikir posisi msib,2,Negatif,Negatif,Negatif,negative,negative
@annn_derscore wah sayang kali,sayang kali,1,Negatif,Positif,Positif,positive,negative
"Saya belom dapet email atau wa dari mitra, artinya apa bang messi? saya ga lolos? di kampus merdeka juga keterangan nya masih di proses",email wa mitra messi lolos kampus merdeka terang proses,0,Positif,Netral,Netral,neutral,negative
"Udah sampe tahap mcu, terus dighosting :"") minimal saya tau hasil mcu nya gitu kak saya kan jadi ga nunggu dan berharap z",tahap mcu dighosting minimal hasil mcu tunggu harap,0,Netral,Netral,Netral,neutral,positive
@endang_hendayatna keterima kah?,terima kah,1,Netral,Positif,Netral,positive,neutral
"@theorifai Kenapa ga mengubah mainset untuk melihat semua hal dari sudut pandang lain? Banyak dokumen yang sudah benar tapi disalahkan. Buktinya banyak berhasilnya banding yang diajukan oleh mahasiswa. Kalau banding berhasil brati logikanya ketika pengecekkan awal terdapat kesalahan dr pihak verifikator lalu direcheck kembali dan menjadi benar. Itu fakta di lapangan, mas.",ubah mainset sudut pandang dokumen salah bukti hasil banding aju mahasiswa banding hasil brati logika ecek salah verifikator direcheck fakta lapang,2,Negatif,Netral,Negatif,neutral,negative
"Nolak yang lain demi nunggu kejelasan eh ternyata ujung "" nya proses terus",nolak tunggu jelas eh ujung proses,0,Positif,Negatif,Negatif,negative,negative
@yunpnzr pernah sih nemu SPTJM yg materainya di palsu dari jpg ,nemu sptjm materainya palsu jpg,0,Negatif,Negatif,Netral,negative,negative
"@juaniko_kristianto buka tiap semester kok, coba aja nanti semester 5",buka semester coba semester,1,Netral,Netral,Netral,neutral,neutral
Ini liat nya dimanasii --,lihat dimanasii,1,Netral,Negatif,Netral,neutral,positive
@rahman_andika05 semangat kak,semangat,2,Netral,Positif,Netral,positive,positive
Yang lagi proses gimana min. Apa masih ada kesempatan kelulusan?,proses sempat kelulus,1,Positif,Netral,Netral,negative,negative
"@yunpnzr satu lagi, jangan melakukan pemalsuan materai",palsu materai,0,Negatif,Negatif,Netral,neutral,neutral
"@nadiairn jadi ga lolos nih """,lolos,0,Netral,Positif,Negatif,negative,negative
"makanya ikutin persyaratannya, scan yang bener, jangan ubah template, jangan ubah poin, periksa butir tiap butir yang dibutuhkan",ikut syarat scan ubah template ubah poin periksa butir butir butuh,2,Netral,Netral,Netral,neutral,neutral
@theorifai bener apa lagi kalau gak linear malah penuhin kuota ajayang pengen masuk kan bukan dia aja wkwkwkwkw,linear penuhin kuota ajayang pengin masuk wkwkwkwkw,1,Positif,Negatif,Negatif,neutral,negative
@annn_derscore tuges bombe lebih Drpd itu,tuges bombe,1,Netral,Negatif,Netral,negative,negative
@theorifai iyhh bg abang suratnya di acc soalnya. gatau rasanya udh bikin surat bener tp di rijek,iyhh abang surat accord enggak tau bikin surat rijek,2,Netral,Negatif,Negatif,negative,negative
"3 posisi BPJS gada kejelasan sama sekali di antaranya staf penata madya, staf analis human capital sama marketing :)",posisi bpjs enggak ada jelas staf tata madya staf analis human capital marketing,0,Negatif,Netral,Netral,neutral,neutral
Mau tanya min kalau tempat magangnya gak ada di web kampus merdeka gimana ya?,magang web kampus merdeka,1,Netral,Netral,Netral,neutral,neutral
"Kocak magang nih, minimal taro TIDAK LOLOS spya tg tra berharap NûNûNû @nngs._",kocak magang minimal taro lolos spya tg tra harap,0,Positif,Negatif,Negatif,neutral,negative
"@nofgl_16 jangan salah bung, kita ni org2 pilihan. kalau org keluar, kita lari masuk.",salah orang pilih orang lari masuk,1,Negatif,Negatif,Negatif,negative,negative
Diproses terossss fix ga keterima,proses fix terima,0,Netral,Netral,Negatif,neutral,negative
Yang ngak dapat sesi ini tetap semangat utk yang akan datang yah,sesi semangat,2,Netral,Positif,Positif,positive,neutral
Dear @magangmerdeka bagaimana mengetahui di terima dan gak diterima kalau di ghosting di web mbkm dan juga sama PT perusahaan Oû mohon kejelasannya,dear terima terima ghosting web mbkm pt usaha mohon jelas,1,Positif,Netral,Netral,neutral,neutral
"@theorifai makannya saya berharap ada statement resmi dari pihak MSIB terkait ini, disamping ketidakjelasan itu, tidak ada opsi perbaikan dokumen bahkan pengajuan banding dari PTN pun tidak ada tanggapan.",makan harap statement resmi msib kait samping ketidakjelasan opsi baik dokumen aju banding ptn tanggap,0,Netral,Netral,Netral,neutral,negative
@nggiiuu yg msh diproses tu artinya ditolak kah?,proses tolak kah,0,Netral,Negatif,Negatif,negative,negative
@theorifai acuan benarnya seperti apa? Dokumen yang sama dengan kami pun ada yang lolos. Lantas yang benar itu seperti apa?,acu benar dokumen lolos lantas,1,Negatif,Netral,Negatif,neutral,negative
@pradana.du saran buat mahasiswa cobalah mendaftar yang sesuai persyaratan dan ga cuma klik daftar ,saran mahasiswa coba daftar sesuai syarat klik daftar,1,Netral,Netral,Netral,neutral,neutral
"Aku yg harus berat hati menolak tawaran di salah satu perusahaan CT corps karena kesehatan dan harus bulak balik RS sampai entah kapan, padahal ini salah satu impian, semoga masih bisa ada kesempatan di MSIB batch 5 aamiin ---",berat hati tolak tawar salah usaha ct corps sehat bulak rs salah impi moga sempat msib batch amin,0,Negatif,Positif,Positif,negative,positive
Ku berharap... Tapi boong,ku harap bohong,0,Netral,Negatif,Negatif,negative,negative
Kesempatan terakhir aku z,sempat,1,Netral,Netral,Netral,positive,neutral
@grc.vic04 gpp kak belajar bahwa ga semua loker yang km daftar bisa menerimamu,enggak apa ajar loker daftar terima,2,Positif,Negatif,Netral,neutral,neutral
Kenapa ga mengubah mainset untuk membuat dokumen dgn benar dan ga asal asalan apply???,ubah mainset dokumen asal apply,2,Negatif,Netral,Netral,neutral,negative
@adrian_syahhh22 Minyak gan Oû,minyak juragan,1,Netral,Positif,Netral,positive,neutral
"Pengalamanku yg statusnya di proses biasanya ga linier, cv dan porto ga menarik dan terakhir ga eligible",alam status proses linier cv porto tarik eligible,2,Netral,Netral,Negatif,neutral,negative
"Gimana nih min udah dinyatakan lolos lewat web, udah jadi kegiatan aktif, tapi gaada kelanjutan dari mitra, ditanyain eh ternyata ga eligible, kalo emamg ga eligible gausah dinyatakan lolos ajah sekalian",nyata lolos web giat aktif enggak ada lanjut mitra ditanyain eh eligible emamg eligible enggak usah nyata lolos,0,Positif,Negatif,Negatif,negative,negative
"Cie ga diterima, cie aku",cie terima cie,0,Netral,Positif,Negatif,positive,negative
"Minimal kasih kejelasan terkait eligible dokumen. Biar antisipasi kedepannya, jangan terkesan menjebak mahasiswa, apalagi diketahuinya pas akhir akhir seleksi. #batch4kacau",minimal kasih jelas kait eligible dokumen biar antisipasi depan kes jebak mahasiswa pas seleksi batch4kacau,0,Negatif,Netral,Netral,negative,negative
"Seenggaknya kabari kalau ga lolos, jgn diproses mulu. Kasihan yg udah berjuang dari awal",enggak kabar lolos proses melulu kasihan juang,0,Negatif,Negatif,Negatif,negative,negative
"@nadiairn iyaa :"") klo saya udah ga brharap lg",brharap,0,Netral,Positif,Negatif,positive,negative
@nadiairn mari realistis saja kak tidak diterima O,mari realistis terima,2,Netral,Positif,Negatif,negative,neutral
"Min mau tanya, kalo dosen pendamping ga ngisi survey kebhinekaan itu pengaruh nya ke mahasiswa apa ya min? *Siapa aja bantu jawab",dosen damping isi survey kebhinekaan pengaruh mahasiswa bantu,1,Netral,Netral,Netral,neutral,negative
@ramaasj Oke makasih bang O,oke terima kasih,2,Positif,Netral,Netral,positive,positive
Yang masih dalam proses seleksi itu sudah tidak harapan untuk lolos ya min?,proses seleksi harap lolos,0,Netral,Netral,Negatif,neutral,negative
@pradana.du Soalnya tahun ini belum rezeki -,rezeki,1,Netral,Positif,Netral,positive,neutral
Saran dong untuk MSIB DAN MITRA kalo emang gak di terima di kasi tau di WEB KAMP MERDEKA NYA jan di proses mulu,saran msib mitra terima kasih web kamp merdeka proses melulu,0,Negatif,Netral,Negatif,neutral,negative
Diproses terus ah,proses ah,1,Netral,Negatif,Negatif,negative,negative
"@juaniko_kristianto semester depan gan, skrg udh tutup, sekitaran abis juli",semester juragan tutup sekitar habis juli,1,Negatif,Netral,Netral,neutral,neutral
"Yg masih diproses, fix ga diterima ya? :(",proses fix terima,1,Netral,Netral,Netral,neutral,negative
Mau nanya min pendaftaran lagi kapan ya dan untuk semester 6 apakah masih boleh mengikuti msib ?,daftar semester ikut msib,1,Netral,Netral,Netral,neutral,neutral
@tamhaikall ga diterima bang,terima,0,Netral,Positif,Negatif,positive,negative
"Masih di proses, gimana tu?",proses,1,Netral,Positif,Negatif,negative,negative
OK SIIIP MIN,ok siiip,1,Positif,Positif,Positif,negative,negative
"Taukah kalian, kalo ngelike komen ga harus klik love nya, tapi bisa klik 2x di komen nya:')",tau ngelike komen klik love klik 2x komen,1,Positif,Netral,Netral,neutral,neutral
@ooo_adhe bang lu dh ada kabar lanjutan dri inamikro blom hbs nerima offering??,deh kabar lanjut inamikro habis terima offering,1,Netral,Netral,Netral,neutral,negative
@theflymanandtws kita yang selalu salah,salah,0,Negatif,Negatif,Positif,negative,negative
"@theresiaaclaudiaa Webnya error kak, saya salah satu yg dapet offering web padahal dr awal udah diinfo berkas reject. Ya pokoknya mereka gapernah salah, kita",webnya error salah offering web info berkas reject pokok enggak pernah salah,0,Negatif,Negatif,Negatif,negative,negative
"@ryanh_aldebaran baca kok, tapi gabisa memungkiri juga bahwa in the end of the day, dunia ga serta merta adil dalam konteks semua berhak. ones always better than the other di aspek kehidupannya. regardless, semoga ke depannya pihak msib bisa mengevaluasi kesalahannya di batch yang sekarang yang cukup banyak problemnya.",baca enggak bisa mungkir the end of the day dunia merta adil konteks hak ones always better tahan the other aspek hidup regardless moga depan msib evaluasi salah batch problem,2,Positif,Negatif,Positif,neutral,negative
@_justdumps_ baca lagi kalimat utamanya mbak,baca kalimat utama,1,Positif,Netral,Netral,positive,neutral
@andir1_ cek ig storynya kak today terakhir konfirmasi tawaran,cek ig storynya today konfirmasi tawar,1,Netral,Netral,Netral,neutral,neutral
"@ivanrach.12 Alhamdulillah sukses y kak, semangat magang.aª #makasih udah bls komenku",alhamdulillah sukses semangat maganga terima kasih balas komenku,2,Positif,Positif,Netral,positive,positive
@domani1702 aku keterima kak,terima,2,Netral,Positif,Netral,positive,neutral
"Sebenarnya di kegiatan ini ada yg keterima MSIB gasih, boleh bales komenku ngk, buat mastiin aja kalo acara ini bner2 ada dan kita yg status.a masih diproses sampe sekarang itu emang udah di tolak",giat terima msib enggak sih balas komenku mastiin acara benar statusa proses tolak,1,Negatif,Negatif,Negatif,neutral,negative
@audreynaa__ bisanya ikut ini tp dh telat wkwk,bisa deh lambat wkwk,0,Negatif,Negatif,Netral,negative,neutral
"apakah studi independen mendapatkan uang saku? setidaknya untuk beli kuota, karena ternyata banyak pertrmuan sinkronusnya",studi independen uang saku beli kuota pertrmuan sinkronusnya,1,Netral,Netral,Netral,neutral,neutral
"@agusselvana mudahnya ya mitra sendiri sudah memberikan requirements sebagai garis minimal masing-masing. tapi, seperti namanya dunia kerja, saudara diadu sama pendaftar yang lain. di lapangan kerja kan juga cv dan kualifikasi yang sesuai belum menjamin keterima kan? karena mungkin anda belum masuk pool atas. mitra jelas akan memilih yang terbaik dari pool di atas garis minimal dan itu sepenuhnya hak dari mitra buat memilih dari kandidat wawancara.",mudah mitra requirements garis minimal masingmasing nama dunia kerja saudara adu daftar lapang kerja cv kualifikasi sesuai jamin terima masuk pool mitra pilih baik pool garis minimal sepenuh hak mitra pilih kandidat wawancara,2,Positif,Netral,Netral,neutral,negative
"@agusselvana @wahyuhari @tutuskusuma be gentle ya pak, dimaklumin kok program baru padahal dah 4 batch wkwkwk. pak tutus malah tag nya ditutup beneran kan kasian klu MSIB mau tag yg ada foto bapak :"") .",be gentle dimaklumin program deh batch wkwkwk tutus tag tutup benar kasihan msib tag foto,0,Positif,Negatif,Negatif,negative,negative
"@ghin.aaaaaaa wkwkwk... Baca yg bener mbak,, itu maksud ortu nya status penolakan anaknya setidaknya dipercepat apalagi ada kasus penolakan berkas. belajar lagi TPS mbak, ttg kalimat utama dan kesimpulan tentunya :"").",wkwkwk baca maksud orang tua status tolak anak cepat tolak berkas ajar tps kalimat utama simpul,0,Positif,Negatif,Negatif,negative,negative
@theresiaaclaudiaa kagaa dapet hahahaha,kagaa hahahaha,1,Positif,Negatif,Positif,positive,positive
"@angelicaecclesia kalau udh dpt email utk undangan onboarding besok, ktny udh aman",email undang onboarding besok aman,1,Positif,Netral,Netral,neutral,neutral
Batch kali ini sangat *awokawokawok*,batch kali awokawokawok,1,Netral,Netral,Positif,positive,positive
"Ini gmna ya status nya masih DIPROSES, emang statusnya g berubah ya klo emang g lolos?",status proses status ubah lolos,0,Netral,Netral,Negatif,neutral,negative
"@ghin.aaaaaaa loh kok anda bisa menyimpulkan bahwa kualifikasi cv nya sudaj sempurna? Yanh melihat cv nya buaknnya para recuiter yah? Nah, kualifikasi cv tersbeut layak apa engganya bukan di tangan kita yang menilai. Walaupun menurut kita hal trsbt sudah sempurna belum tentu di mata recuruiter juga sempurna karena perushaaan atau mitra pubya standarnya masing-masing tiap posisi. Nah untuk pengalaman sendiri gak harus kerja kok daei organisasi atau mahasiswanya aktif bisa dijadikan penhalaman dan untuk yang non pengalaman sendiri ada bnyk mitra yabg tidak begitu mempertimbabgkan hal itu. Ada beberapa mitra yng butuh mahasiwa non pengalaman karena mereka ignin mendevlop skill peserta magang nya oleh pihak mitra nya sendiri... Dan ada bzberapa rekan-rekan saya yg ndak ada pengalaman bisa berkesempatan di program ini. Namun, memang sepettinya pada batch kali ini masih kurangnya sosialisasi dan saya kira regulasinya masih belum sempurna sehinhga patokan untuk keterima tifaknya berdasarkan ke eligible an berkas.",loh simpul kualifikasi cv sudaj sempurna yanh cv buaknnya recuiter kualifikasi cv tersbeut layak engganya tangan nilai trsbt sempurna mata recuruiter sempurna perushaaan mitra pubya standar masingmasing posisi alam kerja daei organisasi mahasiswa aktif jadi penhalaman non alam mitra yabg mempertimbabgkan mitra butuh mahasiwa non alam ignin mendevlop skill serta magang mitra bzberapa rekanrekan indak alam sempat program sepettinya batch kali kurang sosialisasi regulasi sempurna sehinhga patok terima tifaknya dasar eligible an berkas,2,Positif,Negatif,Negatif,positive,negative
@hanana0_ pengen sih kek gitu,pengin kayak,1,Netral,Positif,Netral,negative,negative
@theresiaaclaudiaa hah jadinya maksudnya bisa ditolak lagi meski ud acc dari web dan masuk grup? apa gmn sih plis ini bikin dagdigdug,hah maksud tolak accord web masuk grup plis bikin dagdigdug,1,Netral,Negatif,Negatif,negative,negative
"@itsmesu19 Kalian infonya dah sampai mana? Udh itu aja makasihhh :))) Semangat buat kita, percaya satu rezeki gak akan kemana. oh iya last, sembari mengetik ini aku barusan bnget dapet notif email jam 20.15 WIB buat besok tanggal 16 ikut National Onboarding bagi peserta MSIB Angkatan 4 lewat zoom. Hmm ada peningkatan. Dahlahh semangattt buatt kitaaaa semuaaa.",info deh makasihhh semangat percaya rezeki mana oh last sembari etik barusan banget notif email jam wib besok tanggal national onboarding serta msib angkat zoom hmm tingkat dahlahh semangat buatt kitaaaa,1,Positif,Positif,Positif,positive,positive
"sedikit cerita, aku lolos magang di Mitra X. berkas semua Alhamdulillah verified dan aku daftar itu h-3 bahkan h-1 sblm tutup aku masih dftar2in di bbrpa mitra gitu. Aku juga gak nyangka sih bisa lolos karna dari awal gak terlalu niat juga karna waktu ikut PMM 2 kemaren nilai konversi aku sampai skrg blm keluar jga :( makanya niatnya semakin berkurang buat ikut magang. Tapi karna mau coba2 aja makanya aku coba daftar tanpa berharap keterima. Dan bahkan yg lebih kaget lagi aku tuh lolos tapi tanpa ikut test dan wawancara gitu tiba2 aja kayak di email ada notif ""Pendaftaranmu di terima oleh Mitra X"" gitu. Ada yang sama gak sih please komen karna masih gak nyangka/percaya aja aku. Terus aku masuk ke akun MBKM di sistem tinggal pilih gitu mau ""terima"" atau ""tolak"" (klau gak salah, intinya gitulah) tanpa berpikir panjang aku terima aja lah karna kata temen aku ambil aja kan kesempatan daripada dia gak keterima sama sekali. Dan di akun Mbkm bagian ""Kegiatanku"" itu udh ada tertera aku akan magang dimana, dari kapan sampai kapan. Nah cmn itu doang. Sampai sekarang masih gaktau lanjutannya gimana karna aku mau cari info lebih soal ini di medsos terutama di tempat aku di terima itu kurang info gitu jadi aku merasa kayak digantung gitulah karna kan rata² mulai nya tuh tggl 16/02 kan yah hmm atau emg semuanya gitu blm ada info kelanjutan harus gmna. Gak tau ah. Lanjut cerita, sedangkan teman aku yg dari awal udah dftar, udah niat dan berharap juga lolos eh malah berkasnya gak verified kasian sih hm, dan pasti temen2 di sini juga banyak yg seperti itu dari awal udah niat dan bahkan yakin akan lolos karna isi CV kalian yg keren² dan berkas yg lengkap segala macam. Terus ada juga temen aku dia udh keterima di Mitra X, udh dinyatakan lolos eh tapi berkas ga verified juga. Ada yg sama gak? Jadi inti dari cerita aku ini yah baik kalian yg masih dalam proses maupun yg udh keterima kayak aku contohnya, tapi tetap aja masih ngerasa digantung gitu gak tau selanjutnya harus gimana lagi dan salah nya aku gak masuk group manapun dan gak tau juga groupnya ada apa engga wkwk. Tapi itu kalau di aku yah (Mitra X ini) gak tau kalau di Mitra lain gimana.",cerita lolos magang mitra kali berkas alhamdulillah verified daftar h3 h1 tutup dftar2in mitra sangka lolos niat pmm kemarin nilai konversi niat kurang magang coba2 coba daftar harap terima kaget tuh lolos test wawancara kayak email notif daftar terima mitra kali please komen nyangkapercaya masuk akun mbkm sistem tinggal pilih terima tolak salah inti pikir terima teman ambil sempat terima akun mbkm giat tera magang mana cuman doang gaktau lanjut cari informasi medsos terima informasi kayak gantung tuh tggl hmm informasi lanjut ah cerita teman dftar niat harap lolos eh berkas verified kasihan hm teman niat lolos isi cv keren berkas lengkap teman terima mitra kali nyata lolos eh berkas verified inti cerita proses terima kayak contoh gantung salah masuk group mana groupnya wkwk mitra kali mitra,0,Negatif,Negatif,Negatif,negative,negative
"@hanana0_ Bisa jadi efek pada cut off karena berkas lalu yg ga seleksi pada naik semua kak""",efek cut off berkas seleksi,0,Netral,Netral,Netral,neutral,neutral
"@faakersss_ Wah kurang tau bro kalau itu, andai kata temen lu yg berpengalaman ini berkasnya kereject bisa aja ga dilolosin bro, tp kalau berkasnya aman maka hanya mereka yg tauOû",saudara laki andai teman alam berkas kereject dilolosin saudara laki berkas aman,1,Positif,Negatif,Negatif,neutral,negative
Terimakasih msib,terimakasih msib,2,Netral,Positif,Positif,positive,positive
@lailaqwz_ yg studi independen ga dapet ya kak?,studi independen,1,Netral,Netral,Netral,neutral,neutral
@fzn_almunawar coba suruh temennya chat pic mitranya kak,coba suruh teman chat pic mitra,1,Netral,Netral,Netral,neutral,neutral
"@inunkyutttt ga dapat uang apapun, baik uang saku ataupun BBH. hanya ilmu dan konversi Mk yang didapat..",uang apa uang saku bbh ilmu konversi,1,Netral,Negatif,Negatif,neutral,negative
"@ali_supardi13 mau nanya kak,kalo studi independen dapet uang saku ga sii?",kakkalo studi independen uang saku,1,Netral,Netral,Netral,neutral,neutral
@bhrll2022 ngakak bgt--,akak banget,2,Positif,Positif,Positif,positive,positive
@andihayyy_ Citiasia Inc.,citiasia inc,1,Netral,Netral,Netral,negative,neutral
"@faakersss_ gatau bro sistem selesksinya dibalik layar kaya gimana, bahkan ada temenku yh ga ikut tahapan selesksi sama seklai malah dpt email diterima di salah satu mitra gokil sih wkwk",enggak tau saudara laki sistem selesksinya balik layar kayak temenku tahap selesksi seklai email terima salah mitra gila wkwk,2,Negatif,Negatif,Positif,negative,negative
@mhmadrizallll mantap semangat broodi,mantap semangat broodi,2,Positif,Positif,Positif,positive,positive
