,comment,clean
171,@bro.swryz sebenernya mau dibuka sampai hari inipun banding pasti mahasiswa banyak yang mepet2 revisi upload. Banyak loh mitra yg udah upload sejak tahun lalu tapi baru di approval awal tahun. Begitulah drama hidup nak. 😂,buka ini banding mahasiswa mepet2 revisi upload loh mitra upload approval drama hidup nak
172,"@theorifai selain itu jawaban dari Helpdesk hanya menyuruh menunggu karena katanya masih proses seleksi, disamping itu banyak sekali mahasiswa yang tidak isi KRS karena sudah dinyatakan lolos oleh mitra. Sehingga kami menunggu adanya keputusan lolos/tidak lolosnya dari pihak MSIB yang sampai saat ini tidak ada jawaban pasti. Hingga pada akhirnya KRS kami bermasalah karena beberapa PT udah mulai pembelajaran. Selain itu helpdesk menyatakan kalau silakan menunggu karena kami akan menginformasikan lewat email. Dan semua informasi yang valid hanya berasal dari pihak MSIB bukan dari mitra. Padahal kami bahkan dapat info eligible/tidaknya dari mitra.",helpdesk suruh tunggu proses seleksi samping mahasiswa isi krs nyata lolos mitra tunggu putus lolostidak lolos msib krs masalah pt ajar helpdesk sila tunggu informasi email informasi valid asal msib mitra informasi eligibletidaknya mitra
173,"@theorifai Penutupan banding tgl 27 sore tapi di grup mitra saya ada yang sampai tanggal 28 status berkasnya masih on-review. Syukur dia lolos, andaikata statusnya reject bagaimana nasibnya, mas? Yang kaya gini ga boleh dinormalisasi. Saya maklum kalau sistemnya ga sanggup mengakomodir org banyak karena juga buatan manusia, tapi minimal kasih solusi yang sama2 menguntungkan. Kalau begini kesannya menguntungkan pihak msib aja. Mitra dan mahasiswa yang rugi. Terutama mahasiswa.",tutup banding tanggal sore grup mitra tanggal status berkas onreview syukur lolos andaikata status reject nasib kayak normalisasi maklum sistem sanggup mengakomodir orang buat manusia minimal kasih solusi untung kesan untung msib mitra mahasiswa rugi mahasiswa
174,@azzam.wahyudin Oalah soalnya kan di kriteria syarat pendaftaran itu minimal semester 5,oalah kriteria syarat daftar minimal semester
175,@afill25,
176,"Gmna mau trima tawaran, stts aja masih diproses smpe skrg 😢",terima tawar stts proses
177,@nadiairn di php wkwk,php wkwk
178,@theorifai tapi kalau sudah pake yang asli semua tapi tetep masih gak ada kejelasan itu bagaimana,pakai asli jelas
179,@juaniko_kristianto bukan mimin hehe... oh iya kalo dari dosen wali saya katanya bisa sampe sem 7 sih,admin he oh dosen wali sem
180,"@theorifai Info resmi dr story pihak msib banding bukan revisi lho tapi upload berkas yang sama. Itu yg jadi pegangan. Kalau emang diperbolehkan upload file revisi dan diloloskan berarti memang pihak penyelenggaranya yg tidak konsisten dan merugikan yang lain donk. Udah tau ini rekruitmen besar²an kenapa ga memantapkan sistem? Tim seleksi juga coba donk memposisikan mahasiswa yg harusnya ga kena reject malah kereject gegara error dari mereka. Harus win win solution, ga bisa win satu pihak doank😂",informasi resmi story msib banding revisi lho upload berkas pegang boleh upload file revisi lolos selenggara konsisten rugi rekruitmen besar mantap sistem tim seleksi coba posisi mahasiswa kena reject kereject gegara error win win solution win doang
181,@poetriwdr belum,
182,Maaf min kmrn saya dinyatakan diterima tapi hari selasa malam jam 7 saya dapat wa kalau saya ngk lolos karena sudah ditutup oleh kemendikbud.. Ini 2 hari untuk apa min?,maaf kemarin nyata terima selasa malam jam wa lolos tutup kemendikbud
183,@dianicoputra tp udah dapat undangan onboarding di email blm bang?,undang onboarding email
184,Gk ada offering 😢,offering
185,"udah mau offering sama perusahaan tapi tiba tiba SPTJM saya di nyatakan tidak verified, padahal sebelumnya sudah verified...gimana toh min ?😢",offering usaha sptjm verified verifiedgimana
186,@azzam.wahyudin ini saya melangkah ke semeter 6 min,lang meter
187,Semoga 2 hari tidak mengecewakan😢,moga kecewa
188,"Hilih min min, gagal dapet offering karena surat hmm, mending gak usah ngasih info deh",hilih gagal offering surat hmm lebih baik asih informasi deh
189,"Kak, kalau belum ada tawaran yang muncul bagaimna?",tawar muncul
190,@syn_gts_ iyaaa samaa diproses muluu,proses muluu
191,@ belajar menerima kondisi ya kak. Ga semua yg kita harapkan terwujud. 😂,ajar terima kondisi harap wujud
192,@bro.swryz beberapa kasus yg pernah ditemui adalah misal ni ketika scan cuma pakai hp dan blur. Ada jg cap yg ga kelihatan jadi dianggap ga ada cap. Banding kemarin sebagian besar mengupload ulang file loh. Belajar aja mas lebih legowo. Coba diposisikan sebagai tim seleksi yg sortir puluhan ribu berkas. Kalau salah dikit aja ya langsung gugurkan?,temu scan pakai hp blur cap anggap cap banding kemarin mengupload ulang file loh ajar legowo coba posisi tim seleksi sortir puluh ribu berkas salah dikit langsung gugur
193,kalo masih diproses gimanaaa,proses gimanaaa
194,@theorifai mereka  tidak akan paham rasanya berharap tapi kepastian ga akan pernah datang.sabar aja teruss terus dan terus,paham harap pasti datangsabar
195,"Yang masih dalam tulisan ""diproses sampai kiamat"" angkat tangan ✋✋✋✋.dahlah min jangan posting posting ""masih ada kesempatan ambil tawaran "" tawaran opo bagi kami yang masih diproses ini? Sakit tau bacanya. Jadi teringat prosesnya tapi hasil nihil sampai sekarang.dahlah Mimin tidak akan paham 💔",tulis proses kiamat angkat tangan dah posting posting sempat ambil tawar tawar opo proses sakit baca proses hasil nihil sekarangdahlah admin paham
196,"Kalau mimang ada kebijakan baru, tolong di infokan jauh jauh hari, jangan mendadak. Saya gagal magang karena sptjm saya tidak eligible",mimang bijak tolong info dadak gagal magang sptjm eligible
197,@faakersss_ iya,
198,@yunpnzr betul.,
199,@theorifai mereka beruntung sih gak kena UU pemalsuan dokumen,untung kena uu palsu dokumen
200,@faakersss_ oh iya gua lupa kalau lagi di Indonesia 😌,oh lupa indonesia
201,"@ahmadifatahillah next coba ikuti petunjuk dan kaidah yang sudah di berikan. Di acc kampus bukan berarti kampus jg paham prosedurnya gmn, kalian yg berproses dan kalian jg yg harus teliti. Btw di batch sebelumnya banyak loh mahasiswa yg asal asalan bikin SR dan SPTJM sehingga mitra harus buat laporan dan minta ybs revisi. Alhasil SK mahasiswa telat dan uang saku jg telat. Ribet emang. Coba berfikir kita di posisi msib",coba ikut tunjuk kaidah accord kampus kampus paham prosedur proses teliti ngomong-ngomong batch loh mahasiswa asal bikin sr sptjm mitra lapor ybs revisi alhasil suka mahasiswa lambat uang saku lambat ribet coba pikir posisi msib
202,@annn_derscore wah sayang kali,sayang kali
203,"Saya belom dapet email atau wa dari mitra, artinya apa bang messi? saya ga lolos? di kampus merdeka juga keterangan nya masih di proses",email wa mitra messi lolos kampus merdeka terang proses
204,"Maless sama berkasssss 
Garagara berkas gue gaklolos mitra",maless berkasssss garagara berkas gaklolos mitra
205,"Udah sampe tahap mcu, terus dighosting :"") minimal saya tau hasil mcu nya gitu kak saya kan jadi ga nunggu dan berharap 🥺",tahap mcu dighosting minimal hasil mcu tunggu harap
206,@endang_hendayatna keterima kah?,terima kah
207,"@theorifai Kenapa ga mengubah mainset untuk melihat semua hal dari sudut pandang lain? Banyak dokumen yang sudah benar tapi disalahkan. Buktinya banyak berhasilnya banding yang diajukan oleh mahasiswa. Kalau banding berhasil brati logikanya ketika pengecekkan awal terdapat kesalahan dr pihak verifikator lalu direcheck kembali dan menjadi benar. Itu fakta di lapangan, mas.",ubah mainset sudut pandang dokumen salah bukti hasil banding aju mahasiswa banding hasil brati logika ecek salah verifikator direcheck fakta lapang
208,"Nolak yang lain demi nunggu kejelasan eh ternyata ujung "" nya proses terus 😌",nolak tunggu jelas eh ujung proses
209,@yunpnzr pernah sih nemu SPTJM yg materainya di palsu dari jpg 😂😂😂,nemu sptjm materainya palsu jpg
210,"@juaniko_kristianto buka tiap semester kok, coba aja nanti semester 5",buka semester coba semester
211,Ini liat nya dimanasii 😭😭,lihat dimanasii
212,@rahman_andika05 semangat kak,semangat
213,Yang lagi proses gimana min. Apa masih ada kesempatan kelulusan?,proses sempat kelulus
214,"@yunpnzr satu lagi, jangan melakukan pemalsuan materai",palsu materai
215,@nadiairn jadi ga lolos nih 😢,lolos
216,"makanya ikutin persyaratannya, scan yang bener, jangan ubah template, jangan ubah poin, periksa butir tiap butir yang dibutuhkan",ikut syarat scan ubah template ubah poin periksa butir butir butuh
217,@theorifai bener apa lagi kalau gak linear malah penuhin kuota aja😂yang pengen masuk kan bukan dia aja wkwkwkwkw,linear penuhin kuota ajayang pengin masuk wkwkwkwkw
218,@annn_derscore tuges bombe lebih Drpd itu😂,tuges bombe
219,@theorifai iyhh bg abang suratnya di acc soalnya. gatau rasanya udh bikin surat bener tp di rijek,iyhh abang surat accord enggak tau bikin surat rijek
220,"3 posisi BPJS gada kejelasan sama sekali di antaranya staf penata madya, staf analis human capital sama marketing :)",posisi bpjs enggak ada jelas staf tata madya staf analis human capital marketing
221,Mau tanya min kalau tempat magangnya gak ada di web kampus merdeka gimana ya?,magang web kampus merdeka
222,"Kocak magang nih, minimal taro  TIDAK LOLOS spya tg tra berharap 👎🏻👎🏻👎🏻 @nngs._",kocak magang minimal taro lolos spya tg tra harap
223,"@nofgl_16 jangan salah bung, kita ni org2 pilihan. kalau org keluar, kita lari masuk.",salah orang pilih orang lari masuk
224,Diproses terossss fix ga keterima,proses fix terima
225,Yang ngak dapat sesi ini tetap semangat utk yang akan datang yah,sesi semangat
226,@m_arkhan_f_ iyap harusnya,
227,Dear @magangmerdeka  bagaimana mengetahui di terima dan gak diterima kalau di ghosting di web mbkm dan juga sama PT perusahaan 🙏🏻 mohon kejelasannya,dear terima terima ghosting web mbkm pt usaha mohon jelas
228,"@theorifai makannya saya berharap ada statement resmi dari pihak MSIB terkait ini, disamping ketidakjelasan itu, tidak ada opsi perbaikan dokumen bahkan pengajuan banding dari PTN pun tidak ada tanggapan.",makan harap statement resmi msib kait samping ketidakjelasan opsi baik dokumen aju banding ptn tanggap
229,@nggiiuu yg msh diproses tu artinya ditolak kah?,proses tolak kah
230,@theorifai acuan benarnya seperti apa? Dokumen yang sama dengan kami pun ada yang lolos. Lantas “yang benar” itu seperti apa?,acu benar dokumen lolos lantas
231,@pradana.du saran buat mahasiswa cobalah mendaftar yang sesuai persyaratan dan ga cuma klik daftar 😂,saran mahasiswa coba daftar sesuai syarat klik daftar
232,"Aku yg harus berat hati menolak tawaran di salah satu perusahaan CT corps karena kesehatan dan harus bulak balik RS sampai entah kapan, padahal ini salah satu impian, semoga masih bisa ada kesempatan di MSIB batch 5 aamiin 😭😭😭",berat hati tolak tawar salah usaha ct corps sehat bulak rs salah impi moga sempat msib batch amin
233,Ku berharap... Tapi boong,ku harap bohong
234,Kesempatan terakhir aku 🥺,sempat
235,@grc.vic04 gpp kak belajar bahwa ga semua loker yang km daftar bisa menerimamu,enggak apa ajar loker daftar terima
236,Kenapa ga mengubah mainset untuk membuat dokumen dgn benar dan ga asal asalan apply???,ubah mainset dokumen asal apply
237,@adrian_syahhh22 Minyak gan 🙏🏻,minyak juragan
238,"Pengalamanku yg statusnya di proses biasanya ga linier, cv dan porto ga menarik dan terakhir ga eligible",alam status proses linier cv porto tarik eligible
239,"Gimana nih min udah dinyatakan lolos lewat web, udah jadi kegiatan aktif, tapi gaada kelanjutan dari mitra, ditanyain eh ternyata ga eligible, kalo emamg ga eligible gausah dinyatakan lolos ajah sekalian",nyata lolos web giat aktif enggak ada lanjut mitra ditanyain eh eligible emamg eligible enggak usah nyata lolos
240,"Cie ga diterima, cie aku😂",cie terima cie
241,"Minimal kasih kejelasan terkait eligible dokumen. Biar antisipasi kedepannya, jangan terkesan menjebak mahasiswa, apalagi diketahuinya pas akhir akhir seleksi. #batch4kacau",minimal kasih jelas kait eligible dokumen biar antisipasi depan kes jebak mahasiswa pas seleksi batch4kacau
242,"Seenggaknya kabari kalau ga lolos, jgn diproses mulu. Kasihan yg udah berjuang dari awal",enggak kabar lolos proses melulu kasihan juang
243,"@nadiairn iyaa :"") klo saya udah ga brharap lg",brharap
244,"Yang diproses udah fix ga diterima, semangat 😢",proses fix terima semangat
245,Kocak,
246,Di proses = di gosting = Tidak diterima. Oke baiklah 😌,proses gosting terima oke baik
247,"@pradana.du di dunia kerja juga seperti itu, jadi ya sabar2 aja, kalau udah lebih dri 1 atau 2 minggu ga ada kabar ya udah jangan berharap lebih",dunia kerja sabar2 minggu kabar harap
248,@nadiairn mari realistis saja kak tidak diterima 🙏,mari realistis terima
249,"Min mau tanya, kalo dosen pendamping ga ngisi survey kebhinekaan itu pengaruh nya ke mahasiswa apa ya min? *Siapa aja bantu jawab",dosen damping isi survey kebhinekaan pengaruh mahasiswa bantu
250,@ramaasj Oke makasih bang 🙏,oke terima kasih
251,Yang masih dalam proses seleksi itu sudah tidak harapan untuk lolos ya min?,proses seleksi harap lolos
252,@pradana.du Soalnya tahun ini belum rezeki 😭,rezeki
253,Saran dong untuk MSIB DAN MITRA kalo emang gak di terima di kasi tau di WEB KAMP MERDEKA NYA jan di proses mulu,saran msib mitra terima kasih web kamp merdeka proses melulu
254,Diproses terus ah,proses ah
255,"@juaniko_kristianto semester depan gan, skrg udh tutup, sekitaran abis juli",semester juragan tutup sekitar habis juli
256,"Yg masih diproses, fix ga diterima ya? :(",proses fix terima
257,@juaniko_kristianto bisa,
258,Mau nanya min pendaftaran lagi kapan ya dan untuk semester 6 apakah masih boleh mengikuti msib ?,daftar semester ikut msib
259,@tamhaikall ga diterima bang,terima
260,"Masih di proses, gimana tu?",proses
261,OK SIIIP MIN,ok siiip
262,"Taukah kalian, kalo ngelike komen ga harus klik love nya, tapi bisa klik 2x di komen nya:')",tau ngelike komen klik love klik 2x komen
263,@ooo_adhe bang lu dh ada kabar lanjutan dri inamikro blom hbs nerima offering??,deh kabar lanjut inamikro habis terima offering
264,@theflymanandtws kita yang selalu salah😂,salah
265,"@theresiaaclaudiaa Webnya error kak, saya salah satu yg dapet offering web padahal dr awal udah diinfo berkas reject. Ya pokoknya mereka gapernah salah, kita",webnya error salah offering web info berkas reject pokok enggak pernah salah
266,"@ryanh_aldebaran baca kok, tapi gabisa memungkiri juga bahwa in the end of the day, dunia ga serta merta “adil” dalam konteks semua berhak. one’s always better than the other di aspek kehidupannya. regardless, semoga ke depannya pihak msib bisa mengevaluasi kesalahannya di batch yang sekarang yang cukup banyak problemnya.",baca enggak bisa mungkir the end of the day dunia merta adil konteks hak ones always better tahan the other aspek hidup regardless moga depan msib evaluasi salah batch problem
267,@_justdumps_ baca lagi kalimat utamanya mbak,baca kalimat utama
268,@andir1_ cek ig storynya kak today terakhir konfirmasi tawaran,cek ig storynya today konfirmasi tawar
269,"@ivanrach.12 Alhamdulillah sukses y kak, semangat magang.a💪 #makasih udah bls komenku",alhamdulillah sukses semangat maganga terima kasih balas komenku
270,@domani1702 aku keterima kak,terima
271,"Sebenarnya di kegiatan ini ada yg keterima MSIB gasih, boleh bales komenku ngk, buat mastiin aja kalo acara ini bner2 ada dan kita yg status.a masih diproses sampe sekarang itu emang udah di tolak",giat terima msib enggak sih balas komenku mastiin acara benar statusa proses tolak
272,@audreynaa__ bisanya ikut ini tp dh telat wkwk,bisa deh lambat wkwk
273,"apakah studi independen mendapatkan uang saku? setidaknya untuk beli kuota, karena ternyata banyak pertrmuan sinkronusnya",studi independen uang saku beli kuota pertrmuan sinkronusnya
274,"min gabisa join zoom nya, masa full participant. emang ga diperkiraan dulu jumlah peserta dan kapasitas zoom nya😢",enggak bisa join zoom full participant kira serta kapasitas zoom
275,Yang BGA udah ada yang offering belum??,bga offering
276,"Terima kasih atas semua tanggapan dr rekan rekan. Sampai detik ini status di kampus merdeka juga masih diproses ,kalo ditanya lgs juga masih diproses, Cuma pihak kampus merdeka ditanya terakhir pengumuman sampe kapan juga tidak dijawab. Sedangkan pihak kampus sendiri hari ini memberikan batas waktu untuk pindah pilihan track😥
Mau tidak mau anak sy harus buat pilihan terbaik drpd menunggu yg belum tahu jawabannya. Semangat buat adik adik yg masih berjuang menunggu.Saya doakan yg terbaik buat kalian semua.",terima kasih tanggap rekan rekan detik status kampus merdeka proses langsung proses kampus merdeka umum kampus batas pindah pilih trackmau anak pilih baik tunggu jawab semangat adik adik juang menunggusaya doa baik
277,"@agusselvana mudahnya ya mitra sendiri sudah memberikan requirements sebagai ‘garis minimal’ masing-masing. tapi, seperti namanya dunia kerja, saudara diadu sama pendaftar yang lain. di lapangan kerja kan juga cv dan kualifikasi yang sesuai belum menjamin keterima kan? karena mungkin anda belum masuk pool “atas”. mitra jelas akan memilih yang terbaik dari pool di atas garis minimal dan itu sepenuhnya hak dari mitra buat memilih dari kandidat wawancara.",mudah mitra requirements garis minimal masingmasing nama dunia kerja saudara adu daftar lapang kerja cv kualifikasi sesuai jamin terima masuk pool mitra pilih baik pool garis minimal sepenuh hak mitra pilih kandidat wawancara
278,"@agusselvana @wahyuhari @tutuskusuma be gentle ya pak, dimaklumin kok program baru padahal dah 4 batch wkwkwk. pak tutus malah tag nya ditutup beneran kan kasian klu MSIB mau tag yg ada foto bapak :"") .",be gentle dimaklumin program deh batch wkwkwk tutus tag tutup benar kasihan msib tag foto
279,"@ghin.aaaaaaa wkwkwk... Baca yg bener mbak,, itu maksud ortu nya status penolakan anaknya setidaknya dipercepat apalagi ada kasus penolakan berkas. belajar lagi TPS mbak, ttg kalimat utama dan kesimpulan tentunya :"").",wkwkwk baca maksud orang tua status tolak anak cepat tolak berkas ajar tps kalimat utama simpul
280,@theresiaaclaudiaa kagaa dapet hahahaha,kagaa hahahaha
281,"@angelicaecclesia kalau udh dpt email utk undangan onboarding besok, ktny udh aman",email undang onboarding besok aman
282,Batch kali ini sangat *awokawokawok*,batch kali awokawokawok
283,"Ini gmna ya status nya masih DIPROSES,  emang statusnya g berubah ya klo emang g lolos?",status proses status ubah lolos
284,"@ghin.aaaaaaa loh kok anda bisa menyimpulkan bahwa kualifikasi cv nya sudaj sempurna? Yanh melihat cv nya buaknnya para recuiter yah? Nah, kualifikasi cv tersbeut layak apa engganya bukan di tangan kita yang menilai. Walaupun menurut kita hal trsbt sudah sempurna belum tentu di mata recuruiter juga sempurna karena perushaaan atau mitra pubya standarnya masing-masing tiap posisi. Nah untuk pengalaman sendiri gak harus kerja kok daei organisasi atau mahasiswanya aktif bisa dijadikan penhalaman dan untuk yang non pengalaman sendiri ada bnyk mitra yabg tidak begitu mempertimbabgkan hal itu. Ada beberapa mitra yng butuh mahasiwa non pengalaman karena mereka ignin mendevlop skill peserta magang nya oleh pihak mitra nya sendiri... Dan ada bzberapa rekan-rekan saya yg ndak ada pengalaman bisa berkesempatan di program ini. Namun, memang sepettinya pada batch kali ini masih kurangnya sosialisasi dan saya kira regulasinya masih belum sempurna sehinhga patokan untuk keterima tifaknya berdasarkan ke eligible an berkas.",loh simpul kualifikasi cv sudaj sempurna yanh cv buaknnya recuiter kualifikasi cv tersbeut layak engganya tangan nilai trsbt sempurna mata recuruiter sempurna perushaaan mitra pubya standar masingmasing posisi alam kerja daei organisasi mahasiswa aktif jadi penhalaman non alam mitra yabg mempertimbabgkan mitra butuh mahasiwa non alam ignin mendevlop skill serta magang mitra bzberapa rekanrekan indak alam sempat program sepettinya batch kali kurang sosialisasi regulasi sempurna sehinhga patok terima tifaknya dasar eligible an berkas
285,@hanana0_ pengen sih kek gitu,pengin kayak
286,@theresiaaclaudiaa hah jadinya maksudnya bisa ditolak lagi meski ud acc dari web dan masuk grup? apa gmn sih plis ini bikin dagdigdug,hah maksud tolak accord web masuk grup plis bikin dagdigdug
287,"@itsmesu19 Kalian infonya dah sampai mana? Udh itu aja makasihhh :))) Semangat buat kita, percaya satu rezeki gak akan kemana. oh iya last, sembari mengetik ini aku barusan bnget dapet notif email jam 20.15 WIB buat besok tanggal 16 ikut National Onboarding bagi peserta MSIB Angkatan 4 lewat zoom. Hmm ada peningkatan. Dahlahh semangattt buatt kitaaaa semuaaa.",info deh makasihhh semangat percaya rezeki mana oh last sembari etik barusan banget notif email jam wib besok tanggal national onboarding serta msib angkat zoom hmm tingkat dahlahh semangat buatt kitaaaa
288,"sedikit cerita, aku lolos magang  di Mitra X. berkas semua Alhamdulillah verified dan aku daftar itu h-3 bahkan h-1 sblm tutup aku masih dftar2in di bbrpa mitra gitu. Aku juga gak nyangka sih bisa lolos karna dari awal gak terlalu niat juga karna waktu ikut PMM 2 kemaren nilai konversi aku sampai skrg blm keluar jga :( makanya niatnya semakin berkurang buat ikut magang. Tapi karna mau coba2 aja makanya aku coba daftar tanpa berharap keterima. Dan bahkan yg lebih kaget lagi aku tuh lolos tapi tanpa ikut test dan wawancara gitu tiba2 aja kayak di email ada notif ""Pendaftaranmu di terima oleh Mitra X"" gitu. Ada yang sama gak sih please komen karna masih gak nyangka/percaya aja aku. Terus aku masuk ke akun MBKM di sistem tinggal pilih gitu mau ""terima"" atau ""tolak"" (klau gak salah, intinya gitulah) tanpa berpikir panjang aku terima aja lah karna kata temen aku ambil aja kan kesempatan daripada dia gak keterima sama sekali. Dan di akun Mbkm bagian ""Kegiatanku"" itu udh ada tertera aku akan magang dimana, dari kapan sampai kapan. Nah cmn itu doang. Sampai sekarang masih gaktau lanjutannya gimana karna aku mau cari info lebih soal ini di medsos terutama di tempat aku di terima itu kurang info gitu jadi aku merasa kayak digantung gitulah karna kan rata² mulai nya tuh tggl 16/02 kan yah hmm atau emg semuanya gitu blm ada info kelanjutan harus gmna. Gak tau ah. Lanjut cerita, sedangkan teman aku yg dari awal udah dftar, udah niat dan berharap juga lolos eh malah berkasnya gak verified kasian sih hm, dan pasti temen2 di sini juga banyak yg seperti itu dari awal udah niat dan bahkan yakin akan lolos karna isi CV kalian yg keren² dan berkas yg lengkap segala macam. Terus ada juga temen aku dia udh keterima di Mitra X, udh dinyatakan lolos eh tapi berkas ga verified juga. Ada yg sama gak? Jadi inti dari cerita aku ini yah baik kalian yg masih dalam proses maupun yg udh keterima kayak aku contohnya, tapi tetap aja masih ngerasa digantung gitu gak tau selanjutnya harus gimana lagi dan salah nya aku gak masuk group manapun dan gak tau juga groupnya ada apa engga wkwk. Tapi itu kalau di aku yah (Mitra X ini) gak tau kalau di Mitra lain gimana.",cerita lolos magang mitra kali berkas alhamdulillah verified daftar h3 h1 tutup dftar2in mitra sangka lolos niat pmm kemarin nilai konversi niat kurang magang coba2 coba daftar harap terima kaget tuh lolos test wawancara kayak email notif daftar terima mitra kali please komen nyangkapercaya masuk akun mbkm sistem tinggal pilih terima tolak salah inti pikir terima teman ambil sempat terima akun mbkm giat tera magang mana cuman doang gaktau lanjut cari informasi medsos terima informasi kayak gantung tuh tggl hmm informasi lanjut ah cerita teman dftar niat harap lolos eh berkas verified kasihan hm teman niat lolos isi cv keren berkas lengkap teman terima mitra kali nyata lolos eh berkas verified inti cerita proses terima kayak contoh gantung salah masuk group mana groupnya wkwk mitra kali mitra
289,@lailaqwz_ yahhhh,
290,@hanana0_ Bisa jadi efek pada cut off karena berkas lalu yg ga seleksi pada naik semua kak😢,efek cut off berkas seleksi
291,"@faakersss_ Wah kurang tau bro kalau itu, andai kata temen lu yg berpengalaman ini berkasnya kereject bisa aja ga dilolosin bro, tp kalau berkasnya aman maka hanya mereka yg tau🙏🏻",saudara laki andai teman alam berkas kereject dilolosin saudara laki berkas aman
292,@inunkyutttt ga dapat kak,
293,Terimakasih msib,terimakasih msib
294,@lailaqwz_ yg studi independen ga dapet ya kak?,studi independen
295,@fzn_almunawar coba suruh temennya chat pic mitranya kak,coba suruh teman chat pic mitra
296,"@inunkyutttt ga dapat uang apapun, baik uang saku ataupun BBH. hanya ilmu dan konversi Mk yang didapat..",uang apa uang saku bbh ilmu konversi
297,"@ali_supardi13 mau nanya kak,kalo studi independen dapet uang saku ga sii?",kakkalo studi independen uang saku
298,@bhrll2022 ngakak bgt😭😭,akak banget
299,@andihayyy_ Citiasia Inc.,citiasia inc
300,"@faakersss_  gatau bro sistem selesksinya dibalik layar kaya gimana, bahkan ada temenku yh ga ikut tahapan selesksi sama seklai malah dpt email diterima di salah satu mitra gokil sih wkwk",enggak tau saudara laki sistem selesksinya balik layar kayak temenku tahap selesksi seklai email terima salah mitra gila wkwk
301,@mhmadrizallll mantap semangat broodi,mantap semangat broodi
302,"Sedih sebenarnya karena yang diikutkan hanya perguruan tinggi dibawah kemenristekdikti, padahal masih banyak yang memiliki ambisi dan mimpi namun diterima di perguruan tinggi dibawah kementrian lain ingin mengikuti program kampus merdeka tapi tidak bisa 😭 tapi mereka tetaplah mahasiswa yang berjuang di bangku pendidikan. Semoga segera ada solusi untuk mengikutkan kampus benar"" SE INDONESIA",sedih ikut guru bawah kemenristekdikti milik ambisi mimpi terima guru bawah tri ikut program kampus merdeka tetap mahasiswa juang bangku didik moga solusi ikut kampus indonesia
303,@kiki_ramadhan075 Mitra apa?,mitra
304,"@ghin.aaaaaaa Terima kasih atas tanggapan anda, Ini kan sy bicara CV dan kualifikasi yg sudah sesuai semua mbak, Jika mrk mau cari yg ipk 4 tulis aja dr awal dipersyaratannya,  jd yg ipk 3.63  spt anak sy jd tdk usah daftar untuk sia sia. Kalo dicari yg pengalaman, namanya juga mau magang, mahasiswa mau cari pengalaman kerja, bukan melamar pekerjaan. Saya juga pernah jd mahasiswa jd tau, gk semua mahasiswa punya pengalaman kerja krn jadwal kuliah yg padat, Oke sekian mungkin uneg uneg saya, Mungkin kampus merdeka  untuk kedepannya bisa sosialisasikan ke mitra agar memberi kesempatan yg sudah sesuai kualifikasi yg mereka tulis un tuk wawancara/ test. Jd tdk ada mahasiswa yg dikecewakan krn menunggu sia sia",terima kasih tanggap bicara cv kualifikasi sesuai cari ipk tulis syarat ipk anak daftar sia sia cari alam nama magang mahasiswa cari alam kerja lamar kerja mahasiswa mahasiswa alam kerja jadwal kuliah padat oke sekian uneg uneg kampus merdeka depan sosialisasi mitra sempat sesuai kualifikasi tulis un wawancara test mahasiswa kecewa tunggu sia sia
305,"@adhlslsa sama dan dah dapat email dah di jawab ,tapi gak ada kelanjutannya,bingung😢",deh email deh kelanjutannyabingung
306,@rachel.marla up😢 ini perlu banget,up banget
307,@hanana0_ masa temenku gak ada pengalaman organisasi sama sekali bisa lolos dibandingkan temenku yang full part time dan organisasi padahal mereka daftar di tempat yang sama😢,temenku alam organisasi lolos banding temenku full part time organisasi daftar
308,"@andihayyy_ Alhamdulillah sdh, info mobilisasi gelombang pertama tgl 27 Februari - 6 Maret 2023",alhamdulillah informasi mobilisasi gelombang tanggal februari maret
309,"Proses aj status nya sampe hri ini, sabar bngt nunggunya. Kalo emang ga lulus kenapa nggak berubah aj Satusnya. Kalo ginikan jadi ngarep🫠",proses status sabar banget nunggunya lulus ubah satusnya ginikan harap
310,"@babu_abu_abu seperti biasa gaada kejelasan wkwk, berharap yg terbaik aja soalnya udh jalan sejauh ini",enggak ada jelas wkwk harap baik jalan
311,Sudah ada yg dikasih info mobilisasi sama Mitra nya?,kasih informasi mobilisasi mitra
312,Di sni ada yg keterima magang di PT. Ars Indonesia?,terima magang pt ars indonesia
313,@farhan.abdulah_ 4 bulan,
314,@capybaraonlyd udh ada info kak?,informasi
315,Batch gagal,batch gagal
316,@dndaaaws_ buzzer itu yang nyalahin mahasiswa,buzzer salah mahasiswa
317,@ooo_adhe saya,
318,"@hanana0_ Bener, misal nih mereka kekeh mau berkas jadi hal krusial minimal dikasih info yang jelas lah ya😂",kekeh berkas krusial minimal kasih informasi
319,@kriscokk magang msib biasanya brp lama bang?,magang msib
320,"@bro.swryz ini seleksi kek percuma gtu (menurut gua), skill sm keahlian kita bukan lah hal yang utama melainkan ke egilible an berkas lah yg menjadi syarat utama, aneh kali 😂",seleksi kayak skill ahli utama egilible an berkas syarat utama aneh kali
