,comment,clean,topic
168,"@theorifai Gabisa digeneralisasi juga, jatuhnya rugi buat mereka yang beneran bersungguh² dan memang seharusnya layak join program ini. Jatuhnya seleksi modal hoki. GWS buat negeri ini, membiasakan kebiasaan yang salah demi keuntungan satu pihak aja bahkan ada pihak yang masih menganggap ini wajar😂",gabisa generalisasi jatuh rugi beneran sungguh layak join program jatuh seleksi modal hoki gws negeri salah untung anggap wajar,1
169,msib nya rusaaaakkk wkwk,msib rusaaaakkk wkwk,1
170,"@_andrieseprian yah pada akhirnya mahasiswa yang disalahkan, baik dari kampus bahkan ternyata dari kakak panitia MSIB nya terkait hal ini. Besar harapan kami untuk batch selanjutnya agar lebih baik sistemnya, kejelasannya, dan kerendahan hatinya untuk klarifikasi dengan mendengarkan tanpa menyalahkan. Saya paham betul bahwa tugas kakak kakak sangat berat, namun alangkah lebih baiknya untuk memberikan klarifikasi secara resmi jika ada kejadian seperti ini agar kami tidak berharap.",yah mahasiswa salah kampus nyata panitia msib kait harap batch sistem rendah hati klarifikasi dengar salah paham tugas berat alangkah klarifikasi resmi harap,0
171,@bro.swryz sebenernya mau dibuka sampai hari inipun banding pasti mahasiswa banyak yang mepet2 revisi upload. Banyak loh mitra yg udah upload sejak tahun lalu tapi baru di approval awal tahun. Begitulah drama hidup nak. 😂,sebenernya buka banding mahasiswa mepet revisi upload loh mitra upload approval drama hidup nak,0
172,"@theorifai selain itu jawaban dari Helpdesk hanya menyuruh menunggu karena katanya masih proses seleksi, disamping itu banyak sekali mahasiswa yang tidak isi KRS karena sudah dinyatakan lolos oleh mitra. Sehingga kami menunggu adanya keputusan lolos/tidak lolosnya dari pihak MSIB yang sampai saat ini tidak ada jawaban pasti. Hingga pada akhirnya KRS kami bermasalah karena beberapa PT udah mulai pembelajaran. Selain itu helpdesk menyatakan kalau silakan menunggu karena kami akan menginformasikan lewat email. Dan semua informasi yang valid hanya berasal dari pihak MSIB bukan dari mitra. Padahal kami bahkan dapat info eligible/tidaknya dari mitra.",helpdesk suruh tunggu proses seleksi samping mahasiswa isi krs nyata lolos mitra tunggu putus lolos lolos msib krs pt ajar helpdesk nyata sila tunggu informasi email informasi valid msib mitra informasi eligible mitra,0
173,"@theorifai Penutupan banding tgl 27 sore tapi di grup mitra saya ada yang sampai tanggal 28 status berkasnya masih on-review. Syukur dia lolos, andaikata statusnya reject bagaimana nasibnya, mas? Yang kaya gini ga boleh dinormalisasi. Saya maklum kalau sistemnya ga sanggup mengakomodir org banyak karena juga buatan manusia, tapi minimal kasih solusi yang sama2 menguntungkan. Kalau begini kesannya menguntungkan pihak msib aja. Mitra dan mahasiswa yang rugi. Terutama mahasiswa.",tutup banding tanggal sore grup mitra tanggal status berkas on review syukur lolos andaikata status reject nasib kaya gin normalisasi maklum sistem sanggup mengakomodir org manusia minimal kasih solusi untung kesan untung msib aja mitra mahasiswa rugi utama mahasiswa,0
174,@azzam.wahyudin Oalah soalnya kan di kriteria syarat pendaftaran itu minimal semester 5,wahyudin oalah kriteria syarat daftar minimal semester,0
175,@afill25,,0
176,"Gmna mau trima tawaran, stts aja masih diproses smpe skrg 😢",gmna terima kasih tawar stts proses smpe skrg,1
177,@nadiairn di php wkwk,php wkwk,1
178,@theorifai tapi kalau sudah pake yang asli semua tapi tetep masih gak ada kejelasan itu bagaimana,pakai asli tetep,2
179,@juaniko_kristianto bukan mimin hehe... oh iya kalo dari dosen wali saya katanya bisa sampe sem 7 sih,mimin hehe oh dosen wali sem,1
180,"@theorifai Info resmi dr story pihak msib banding bukan revisi lho tapi upload berkas yang sama. Itu yg jadi pegangan. Kalau emang diperbolehkan upload file revisi dan diloloskan berarti memang pihak penyelenggaranya yg tidak konsisten dan merugikan yang lain donk. Udah tau ini rekruitmen besar²an kenapa ga memantapkan sistem? Tim seleksi juga coba donk memposisikan mahasiswa yg harusnya ga kena reject malah kereject gegara error dari mereka. Harus win win solution, ga bisa win satu pihak doank😂",info resmi dr story msib banding revisi lho upload berkas pegang emang upload file revisi lolos arti selenggara konsisten rugi donk udah rekruitmen mantap sistem tim seleksi coba donk posisi mahasiswa kena reject kereject gegara error win win solution win doank,1
181,@poetriwdr belum,,0
182,Maaf min kmrn saya dinyatakan diterima tapi hari selasa malam jam 7 saya dapat wa kalau saya ngk lolos karena sudah ditutup oleh kemendikbud.. Ini 2 hari untuk apa min?,maaf kemarin nyata terima selasa malam jam wa ngk lolos tutup kemendikbud,1
183,@dianicoputra tp udah dapat undangan onboarding di email blm bang?,undang onboarding email,1
184,Gk ada offering 😢,offering,2
185,"udah mau offering sama perusahaan tapi tiba tiba SPTJM saya di nyatakan tidak verified, padahal sebelumnya sudah verified...gimana toh min ?😢",offering usaha sptjm nyata verified verified gimana,1
186,@azzam.wahyudin ini saya melangkah ke semeter 6 min,wahyudin lang meter,0
187,Semoga 2 hari tidak mengecewakan😢,moga kecewa,0
188,"Hilih min min, gagal dapet offering karena surat hmm, mending gak usah ngasih info deh",hilih gagal offering surat hmm informasi deh,0
189,"Kak, kalau belum ada tawaran yang muncul bagaimna?",tawar muncul bagaimna,2
190,@syn_gts_ iyaaa samaa diproses muluu,iyaaa samaa proses muluu,1
191,@ belajar menerima kondisi ya kak. Ga semua yg kita harapkan terwujud. 😂,ajar terima kondisi harap wujud,1
192,@bro.swryz beberapa kasus yg pernah ditemui adalah misal ni ketika scan cuma pakai hp dan blur. Ada jg cap yg ga kelihatan jadi dianggap ga ada cap. Banding kemarin sebagian besar mengupload ulang file loh. Belajar aja mas lebih legowo. Coba diposisikan sebagai tim seleksi yg sortir puluhan ribu berkas. Kalau salah dikit aja ya langsung gugurkan?,temu scan pakai hp blur cap lihat anggap cap banding kemarin mengupload ulang file loh ajar legowo coba posisi tim seleksi sortir puluh ribu berkas salah dikit langsung gugur,1
193,kalo masih diproses gimanaaa,proses gimanaaa,1
194,@theorifai mereka  tidak akan paham rasanya berharap tapi kepastian ga akan pernah datang.sabar aja teruss terus dan terus,paham harap sabar teruss,0
195,"Yang masih dalam tulisan ""diproses sampai kiamat"" angkat tangan ✋✋✋✋.dahlah min jangan posting posting ""masih ada kesempatan ambil tawaran "" tawaran opo bagi kami yang masih diproses ini? Sakit tau bacanya. Jadi teringat prosesnya tapi hasil nihil sampai sekarang.dahlah Mimin tidak akan paham 💔",tulis proses kiamat angkat tangan dah posting posting ambil tawar tawar opo proses sakit baca proses hasil nihil dah mimin paham,1
196,"Kalau mimang ada kebijakan baru, tolong di infokan jauh jauh hari, jangan mendadak. Saya gagal magang karena sptjm saya tidak eligible",mimang bijak tolong info dadak gagal magang sptjm eligible,2
197,@faakersss_ iya,,0
198,@yunpnzr betul.,,0
199,@theorifai mereka beruntung sih gak kena UU pemalsuan dokumen,untung kena uu palsu dokumen,0
200,@faakersss_ oh iya gua lupa kalau lagi di Indonesia 😌,oh lupa indonesia,0
201,"@ahmadifatahillah next coba ikuti petunjuk dan kaidah yang sudah di berikan. Di acc kampus bukan berarti kampus jg paham prosedurnya gmn, kalian yg berproses dan kalian jg yg harus teliti. Btw di batch sebelumnya banyak loh mahasiswa yg asal asalan bikin SR dan SPTJM sehingga mitra harus buat laporan dan minta ybs revisi. Alhasil SK mahasiswa telat dan uang saku jg telat. Ribet emang. Coba berfikir kita di posisi msib",coba kaidah ikan accord kampus arti kampus paham prosedur gmn proses teliti btw batch loh mahasiswa bikin sr sptjm mitra lapor ybs revisi alhasil sk mahasiswa lambat uang saku telat ribet emang coba berfikir posisi msib,1
202,@annn_derscore wah sayang kali,sayang kali,2
203,"Saya belom dapet email atau wa dari mitra, artinya apa bang messi? saya ga lolos? di kampus merdeka juga keterangan nya masih di proses",email wa mitra arti messi lolos kampus merdeka terang proses,2
204,"Maless sama berkasssss 
Garagara berkas gue gaklolos mitra",maless berkasssss garagara berkas gaklolos mitra,1
205,"Udah sampe tahap mcu, terus dighosting :"") minimal saya tau hasil mcu nya gitu kak saya kan jadi ga nunggu dan berharap 🥺",udah tahap mcu dighosting minimal hasil mcu gitu nunggu harap,1
206,@endang_hendayatna keterima kah?,terima kah,1
207,"@theorifai Kenapa ga mengubah mainset untuk melihat semua hal dari sudut pandang lain? Banyak dokumen yang sudah benar tapi disalahkan. Buktinya banyak berhasilnya banding yang diajukan oleh mahasiswa. Kalau banding berhasil brati logikanya ketika pengecekkan awal terdapat kesalahan dr pihak verifikator lalu direcheck kembali dan menjadi benar. Itu fakta di lapangan, mas.",ubah mainset lihat sudut pandang dokumen salah bukti hasil banding aju mahasiswa banding hasil brati logika ecek salah dr verifikator direcheck fakta lapang,0
208,"Nolak yang lain demi nunggu kejelasan eh ternyata ujung "" nya proses terus 😌",nolak nunggu eh nyata ujung proses,1
209,@yunpnzr pernah sih nemu SPTJM yg materainya di palsu dari jpg 😂😂😂,nemu sptjm materainya palsu jpg,1
210,"@juaniko_kristianto buka tiap semester kok, coba aja nanti semester 5",buka semester coba semester,1
211,Ini liat nya dimanasii 😭😭,lihat dimanasii,0
212,@rahman_andika05 semangat kak,semangat,2
213,Yang lagi proses gimana min. Apa masih ada kesempatan kelulusan?,proses kelulus,1
214,"@yunpnzr satu lagi, jangan melakukan pemalsuan materai",laku palsu materai,2
215,@nadiairn jadi ga lolos nih 😢,lolos,1
216,"makanya ikutin persyaratannya, scan yang bener, jangan ubah template, jangan ubah poin, periksa butir tiap butir yang dibutuhkan",ikutin syarat scan bener ubah template ubah poin periksa butir butir butuh,0
217,@theorifai bener apa lagi kalau gak linear malah penuhin kuota aja😂yang pengen masuk kan bukan dia aja wkwkwkwkw,linear penuhin kuota ajayang ken masuk wkwkwkwkw,2
218,@annn_derscore tuges bombe lebih Drpd itu😂,tuges bombe drpd,0
219,@theorifai iyhh bg abang suratnya di acc soalnya. gatau rasanya udh bikin surat bener tp di rijek,iyhh abang abang surat accord gatau udh bikin surat rijek,0
220,"3 posisi BPJS gada kejelasan sama sekali di antaranya staf penata madya, staf analis human capital sama marketing :)",posisi bpjs gada staf tata madya staf analis human capital marketing,1
221,Mau tanya min kalau tempat magangnya gak ada di web kampus merdeka gimana ya?,magang web kampus merdeka,2
222,"Kocak magang nih, minimal taro  TIDAK LOLOS spya tg tra berharap 👎🏻👎🏻👎🏻 @nngs._",kocak magang nih minimal taro lolos spya tg tra harap,0
223,"@nofgl_16 jangan salah bung, kita ni org2 pilihan. kalau org keluar, kita lari masuk.",salah orang orang pilih org lari masuk,0
224,Diproses terossss fix ga keterima,proses terossss fix terima,1
225,Yang ngak dapat sesi ini tetap semangat utk yang akan datang yah,ngak sesi semangat yah,2
226,@m_arkhan_f_ iyap harusnya,iyap,0
227,Dear @magangmerdeka  bagaimana mengetahui di terima dan gak diterima kalau di ghosting di web mbkm dan juga sama PT perusahaan 🙏🏻 mohon kejelasannya,dear terima terima ghosting web mbkm pt usaha mohon,0
228,"@theorifai makannya saya berharap ada statement resmi dari pihak MSIB terkait ini, disamping ketidakjelasan itu, tidak ada opsi perbaikan dokumen bahkan pengajuan banding dari PTN pun tidak ada tanggapan.",makan harap statement resmi msib kait samping ketidakjelasan opsi dokumen aju banding ptn tanggap,0
229,@nggiiuu yg msh diproses tu artinya ditolak kah?,proses tu arti tolak kah,1
230,@theorifai acuan benarnya seperti apa? Dokumen yang sama dengan kami pun ada yang lolos. Lantas “yang benar” itu seperti apa?,acu dokumen lolos lantas,0
231,@pradana.du saran buat mahasiswa cobalah mendaftar yang sesuai persyaratan dan ga cuma klik daftar 😂,du saran mahasiswa coba daftar sesuai syarat klik daftar,0
232,"Aku yg harus berat hati menolak tawaran di salah satu perusahaan CT corps karena kesehatan dan harus bulak balik RS sampai entah kapan, padahal ini salah satu impian, semoga masih bisa ada kesempatan di MSIB batch 5 aamiin 😭😭😭",berat hati tolak tawar salah usaha ct corps sehat bulak rs salah impi moga msib batch aamiin,0
233,Ku berharap... Tapi boong,ku harap boong,0
234,Kesempatan terakhir aku 🥺,,0
235,@grc.vic04 gpp kak belajar bahwa ga semua loker yang km daftar bisa menerimamu,vic ajar loker daftar terima,1
236,Kenapa ga mengubah mainset untuk membuat dokumen dgn benar dan ga asal asalan apply???,ubah mainset dokumen apply,0
237,@adrian_syahhh22 Minyak gan 🙏🏻,minyak juragan,0
238,"Pengalamanku yg statusnya di proses biasanya ga linier, cv dan porto ga menarik dan terakhir ga eligible",alam status proses linier cv porto tarik eligible,1
239,"Gimana nih min udah dinyatakan lolos lewat web, udah jadi kegiatan aktif, tapi gaada kelanjutan dari mitra, ditanyain eh ternyata ga eligible, kalo emamg ga eligible gausah dinyatakan lolos ajah sekalian",gimana nyata lolos web giat aktif uang mitra ditanyain eh nyata eligible emamg eligible gausah nyata lolos ajah,1
240,"Cie ga diterima, cie aku😂",cie terima cie,1
241,"Minimal kasih kejelasan terkait eligible dokumen. Biar antisipasi kedepannya, jangan terkesan menjebak mahasiswa, apalagi diketahuinya pas akhir akhir seleksi. #batch4kacau",minimal kasih kait eligible dokumen biar antisipasi kes jebak mahasiswa pas seleksi batchkacau,0
242,"Seenggaknya kabari kalau ga lolos, jgn diproses mulu. Kasihan yg udah berjuang dari awal",kabar lolos proses mulu kasihan juang,1
243,"@nadiairn iyaa :"") klo saya udah ga brharap lg",iyaa brharap,0
244,"Yang diproses udah fix ga diterima, semangat 😢",proses fix terima semangat,1
245,Kocak,,0
246,Di proses = di gosting = Tidak diterima. Oke baiklah 😌,proses gosting terima oke,1
247,"@pradana.du di dunia kerja juga seperti itu, jadi ya sabar2 aja, kalau udah lebih dri 1 atau 2 minggu ga ada kabar ya udah jangan berharap lebih",du dunia kerja sabar aja minggu kabar harap,0
248,@nadiairn mari realistis saja kak tidak diterima 🙏,mari realistis terima,1
249,"Min mau tanya, kalo dosen pendamping ga ngisi survey kebhinekaan itu pengaruh nya ke mahasiswa apa ya min? *Siapa aja bantu jawab",dosen damping isi survey kebhinekaan pengaruh mahasiswa bantu,0
250,@ramaasj Oke makasih bang 🙏,oke terima kasih,1
251,Yang masih dalam proses seleksi itu sudah tidak harapan untuk lolos ya min?,proses seleksi harap lolos,1
252,@pradana.du Soalnya tahun ini belum rezeki 😭,du rezeki,2
253,Saran dong untuk MSIB DAN MITRA kalo emang gak di terima di kasi tau di WEB KAMP MERDEKA NYA jan di proses mulu,saran msib mitra emang terima kasi web kamp merdeka jan proses melulu,2
254,Diproses terus ah,proses ah,1
255,"@juaniko_kristianto semester depan gan, skrg udh tutup, sekitaran abis juli",semester gan skrg udh tutup habis juli,2
256,"Yg masih diproses, fix ga diterima ya? :(",yg proses fix terima,1
257,@juaniko_kristianto bisa,,0
258,Mau nanya min pendaftaran lagi kapan ya dan untuk semester 6 apakah masih boleh mengikuti msib ?,daftar semester msib,0
259,@tamhaikall ga diterima bang,terima,1
260,"Masih di proses, gimana tu?",proses tu,1
261,OK SIIIP MIN,ok siiip,0
262,"Taukah kalian, kalo ngelike komen ga harus klik love nya, tapi bisa klik 2x di komen nya:')",tau ngelike komen klik love klik x komen,0
263,@ooo_adhe bang lu dh ada kabar lanjutan dri inamikro blom hbs nerima offering??,dh kabar inamikro blom hbs nerima offering,1
264,@theflymanandtws kita yang selalu salah😂,salah,2
265,"@theresiaaclaudiaa Webnya error kak, saya salah satu yg dapet offering web padahal dr awal udah diinfo berkas reject. Ya pokoknya mereka gapernah salah, kita",webnya error salah offering web dr info berkas reject pokok gapernah salah,2
266,"@ryanh_aldebaran baca kok, tapi gabisa memungkiri juga bahwa in the end of the day, dunia ga serta merta “adil” dalam konteks semua berhak. one’s always better than the other di aspek kehidupannya. regardless, semoga ke depannya pihak msib bisa mengevaluasi kesalahannya di batch yang sekarang yang cukup banyak problemnya.",baca gabisa mungkir in the end of the day dunia merta adil konteks hak ones always better than the other aspek hidup regardless moga msib evaluasi salah batch problem,0
267,@_justdumps_ baca lagi kalimat utamanya mbak,baca kalimat utama,0
268,@andir1_ cek ig storynya kak today terakhir konfirmasi tawaran,cek ig storynya today konfirmasi tawar,1
269,"@ivanrach.12 Alhamdulillah sukses y kak, semangat magang.a💪 #makasih udah bls komenku",alhamdulillah sukses semangat magang a makasih balas komenku,2
270,@domani1702 aku keterima kak,terima,1
271,"Sebenarnya di kegiatan ini ada yg keterima MSIB gasih, boleh bales komenku ngk, buat mastiin aja kalo acara ini bner2 ada dan kita yg status.a masih diproses sampe sekarang itu emang udah di tolak",giat terima msib gasih balas komenku ngk mastiin acara bner status a proses emang tolak,2
272,@audreynaa__ bisanya ikut ini tp dh telat wkwk,dh lambat wkwk,1
273,"apakah studi independen mendapatkan uang saku? setidaknya untuk beli kuota, karena ternyata banyak pertrmuan sinkronusnya",studi independen uang saku beli kuota nyata pertrmuan sinkronusnya,1
274,"min gabisa join zoom nya, masa full participant. emang ga diperkiraan dulu jumlah peserta dan kapasitas zoom nya😢",gabisa join zoom full participant emang kapasitas zoom,2
275,Yang BGA udah ada yang offering belum??,bga offering,2
276,"Terima kasih atas semua tanggapan dr rekan rekan. Sampai detik ini status di kampus merdeka juga masih diproses ,kalo ditanya lgs juga masih diproses, Cuma pihak kampus merdeka ditanya terakhir pengumuman sampe kapan juga tidak dijawab. Sedangkan pihak kampus sendiri hari ini memberikan batas waktu untuk pindah pilihan track😥
Mau tidak mau anak sy harus buat pilihan terbaik drpd menunggu yg belum tahu jawabannya. Semangat buat adik adik yg masih berjuang menunggu.Saya doakan yg terbaik buat kalian semua.",terima kasih tanggap dr rekan rekan detik status kampus merdeka proses kalo lgs proses kampus merdeka kampus batas pindah pilih track anak pilih drpd tunggu semangat adik adik juang tunggu doa,2
277,"@agusselvana mudahnya ya mitra sendiri sudah memberikan requirements sebagai ‘garis minimal’ masing-masing. tapi, seperti namanya dunia kerja, saudara diadu sama pendaftar yang lain. di lapangan kerja kan juga cv dan kualifikasi yang sesuai belum menjamin keterima kan? karena mungkin anda belum masuk pool “atas”. mitra jelas akan memilih yang terbaik dari pool di atas garis minimal dan itu sepenuhnya hak dari mitra buat memilih dari kandidat wawancara.",mudah mitra requirements garis minimal nama dunia kerja saudara adu daftar lapang kerja cv kualifikasi sesuai jamin terima masuk pool mitra pilih pool garis minimal sepenuh hak mitra pilih kandidat wawancara,2
278,"@agusselvana @wahyuhari @tutuskusuma be gentle ya pak, dimaklumin kok program baru padahal dah 4 batch wkwkwk. pak tutus malah tag nya ditutup beneran kan kasian klu MSIB mau tag yg ada foto bapak :"") .",be gentle dimaklumin program deh batch wkwkwk tutus tag tutup beneran kasi klu msib tag foto,0
279,"@ghin.aaaaaaa wkwkwk... Baca yg bener mbak,, itu maksud ortu nya status penolakan anaknya setidaknya dipercepat apalagi ada kasus penolakan berkas. belajar lagi TPS mbak, ttg kalimat utama dan kesimpulan tentunya :"").",aaaaaaa wkwkwk baca maksud orang tua status tolak anak cepat tolak berkas ajar tps kalimat utama simpul,0
280,@theresiaaclaudiaa kagaa dapet hahahaha,kagaa hahahaha,0
281,"@angelicaecclesia kalau udh dpt email utk undangan onboarding besok, ktny udh aman",udh email undang onboarding besok udh aman,2
282,Batch kali ini sangat *awokawokawok*,batch kali awokawokawok,2
283,"Ini gmna ya status nya masih DIPROSES,  emang statusnya g berubah ya klo emang g lolos?",gmna status proses emang status g ubah emang g lolos,1
284,"@ghin.aaaaaaa loh kok anda bisa menyimpulkan bahwa kualifikasi cv nya sudaj sempurna? Yanh melihat cv nya buaknnya para recuiter yah? Nah, kualifikasi cv tersbeut layak apa engganya bukan di tangan kita yang menilai. Walaupun menurut kita hal trsbt sudah sempurna belum tentu di mata recuruiter juga sempurna karena perushaaan atau mitra pubya standarnya masing-masing tiap posisi. Nah untuk pengalaman sendiri gak harus kerja kok daei organisasi atau mahasiswanya aktif bisa dijadikan penhalaman dan untuk yang non pengalaman sendiri ada bnyk mitra yabg tidak begitu mempertimbabgkan hal itu. Ada beberapa mitra yng butuh mahasiwa non pengalaman karena mereka ignin mendevlop skill peserta magang nya oleh pihak mitra nya sendiri... Dan ada bzberapa rekan-rekan saya yg ndak ada pengalaman bisa berkesempatan di program ini. Namun, memang sepettinya pada batch kali ini masih kurangnya sosialisasi dan saya kira regulasinya masih belum sempurna sehinhga patokan untuk keterima tifaknya berdasarkan ke eligible an berkas.",aaaaaaa loh simpul kualifikasi cv sudaj sempurna yanh lihat cv buaknnya recuiter yah kualifikasi cv tersbeut layak engganya tangan nilai trsbt sempurna mata recuruiter sempurna perushaaan mitra pubya standar posisi alam kerja daei organisasi mahasiswa aktif penhalaman non alam mitra yabg mempertimbabgkan mitra yng butuh mahasiwa non alam ignin mendevlop skill magang mitra bzberapa rekan rekan alam program sepettinya batch kali sosialisasi regulasi sempurna sehinhga patok terima tifaknya dasar eligible an berkas,0
285,@hanana0_ pengen sih kek gitu,ken gitu,2
286,@theresiaaclaudiaa hah jadinya maksudnya bisa ditolak lagi meski ud acc dari web dan masuk grup? apa gmn sih plis ini bikin dagdigdug,hah maksud tolak accord web masuk grup gmn plis bikin dagdigdug,0
287,"@itsmesu19 Kalian infonya dah sampai mana? Udh itu aja makasihhh :))) Semangat buat kita, percaya satu rezeki gak akan kemana. oh iya last, sembari mengetik ini aku barusan bnget dapet notif email jam 20.15 WIB buat besok tanggal 16 ikut National Onboarding bagi peserta MSIB Angkatan 4 lewat zoom. Hmm ada peningkatan. Dahlahh semangattt buatt kitaaaa semuaaa.",info deh udh makasihhh semangat percaya rezeki oh last sembari etik barusan bnget notif email jam wib besok tanggal national onboarding msib angkat zoom hmm tingkat dahlahh semangattt buatt kitaaaa semuaaa,0
288,"sedikit cerita, aku lolos magang  di Mitra X. berkas semua Alhamdulillah verified dan aku daftar itu h-3 bahkan h-1 sblm tutup aku masih dftar2in di bbrpa mitra gitu. Aku juga gak nyangka sih bisa lolos karna dari awal gak terlalu niat juga karna waktu ikut PMM 2 kemaren nilai konversi aku sampai skrg blm keluar jga :( makanya niatnya semakin berkurang buat ikut magang. Tapi karna mau coba2 aja makanya aku coba daftar tanpa berharap keterima. Dan bahkan yg lebih kaget lagi aku tuh lolos tapi tanpa ikut test dan wawancara gitu tiba2 aja kayak di email ada notif ""Pendaftaranmu di terima oleh Mitra X"" gitu. Ada yang sama gak sih please komen karna masih gak nyangka/percaya aja aku. Terus aku masuk ke akun MBKM di sistem tinggal pilih gitu mau ""terima"" atau ""tolak"" (klau gak salah, intinya gitulah) tanpa berpikir panjang aku terima aja lah karna kata temen aku ambil aja kan kesempatan daripada dia gak keterima sama sekali. Dan di akun Mbkm bagian ""Kegiatanku"" itu udh ada tertera aku akan magang dimana, dari kapan sampai kapan. Nah cmn itu doang. Sampai sekarang masih gaktau lanjutannya gimana karna aku mau cari info lebih soal ini di medsos terutama di tempat aku di terima itu kurang info gitu jadi aku merasa kayak digantung gitulah karna kan rata² mulai nya tuh tggl 16/02 kan yah hmm atau emg semuanya gitu blm ada info kelanjutan harus gmna. Gak tau ah. Lanjut cerita, sedangkan teman aku yg dari awal udah dftar, udah niat dan berharap juga lolos eh malah berkasnya gak verified kasian sih hm, dan pasti temen2 di sini juga banyak yg seperti itu dari awal udah niat dan bahkan yakin akan lolos karna isi CV kalian yg keren² dan berkas yg lengkap segala macam. Terus ada juga temen aku dia udh keterima di Mitra X, udh dinyatakan lolos eh tapi berkas ga verified juga. Ada yg sama gak? Jadi inti dari cerita aku ini yah baik kalian yg masih dalam proses maupun yg udh keterima kayak aku contohnya, tapi tetap aja masih ngerasa digantung gitu gak tau selanjutnya harus gimana lagi dan salah nya aku gak masuk group manapun dan gak tau juga groupnya ada apa engga wkwk. Tapi itu kalau di aku yah (Mitra X ini) gak tau kalau di Mitra lain gimana.",cerita lolos magang mitra x berkas alhamdulillah verified daftar h h sblm tutup dftarin bbrpa mitra gitu nyangka lolos niat pmm kemarin nilai konversi skrg niat magang coba coba daftar harap terima kaget tuh lolos test wawancara gitu kayak email notif daftar terima mitra x gitu please komen nyangka percaya masuk akun mbkm sistem tinggal pilih gitu terima tolak klau salah inti gitulah pikir terima teman ambil terima akun mbkm giat udh tera magang cmn doang gaktau cari informasi medsos utama terima informasi gitu kayak gantung gitulah tuh tggl yah hmm emg gitu informasi gmna ah cerita teman dftar niat harap lolos eh berkas verified kasi hm teman teman niat lolos isi cv keren berkas lengkap teman udh terima mitra x udh nyata lolos eh berkas verified inti cerita yah proses udh terima kayak contoh ngerasa gantung gitu salah masuk group groupnya engga wkwk yah mitra x mitra gimana,2
289,@lailaqwz_ yahhhh,yahhhh,0
290,@hanana0_ Bisa jadi efek pada cut off karena berkas lalu yg ga seleksi pada naik semua kak😢,efek cut off berkas seleksi,1
291,"@faakersss_ Wah kurang tau bro kalau itu, andai kata temen lu yg berpengalaman ini berkasnya kereject bisa aja ga dilolosin bro, tp kalau berkasnya aman maka hanya mereka yg tau🙏🏻",saudara laki laki andai teman alam berkas kereject dilolosin berkas aman tau,2
292,@inunkyutttt ga dapat kak,,0
293,Terimakasih msib,terimakasih msib,0
294,@lailaqwz_ yg studi independen ga dapet ya kak?,studi independen,2
295,@fzn_almunawar coba suruh temennya chat pic mitranya kak,coba suruh temennya chat pic mitra,2
296,"@inunkyutttt ga dapat uang apapun, baik uang saku ataupun BBH. hanya ilmu dan konversi Mk yang didapat..",uang uang saku bbh ilmu konversi mk,1
297,"@ali_supardi13 mau nanya kak,kalo studi independen dapet uang saku ga sii?",kalo studi independen uang saku sii,1
298,@bhrll2022 ngakak bgt😭😭,tertawa bgt,0
299,@andihayyy_ Citiasia Inc.,citiasia inc,0
300,"@faakersss_  gatau bro sistem selesksinya dibalik layar kaya gimana, bahkan ada temenku yh ga ikut tahapan selesksi sama seklai malah dpt email diterima di salah satu mitra gokil sih wkwk",gatau saudara laki laki sistem selesksinya layar kaya gimana temenku yh tahap selesksi seklai email terima salah mitra gila wkwk,2
301,@mhmadrizallll mantap semangat broodi,mantap semangat broodi,2
302,"Sedih sebenarnya karena yang diikutkan hanya perguruan tinggi dibawah kemenristekdikti, padahal masih banyak yang memiliki ambisi dan mimpi namun diterima di perguruan tinggi dibawah kementrian lain ingin mengikuti program kampus merdeka tapi tidak bisa 😭 tapi mereka tetaplah mahasiswa yang berjuang di bangku pendidikan. Semoga segera ada solusi untuk mengikutkan kampus benar"" SE INDONESIA",sedih guru kemenristekdikti milik ambisi mimpi terima guru tri program kampus merdeka mahasiswa juang bangku didik moga solusi kampus indonesia,2
303,@kiki_ramadhan075 Mitra apa?,mitra,2
304,"@ghin.aaaaaaa Terima kasih atas tanggapan anda, Ini kan sy bicara CV dan kualifikasi yg sudah sesuai semua mbak, Jika mrk mau cari yg ipk 4 tulis aja dr awal dipersyaratannya,  jd yg ipk 3.63  spt anak sy jd tdk usah daftar untuk sia sia. Kalo dicari yg pengalaman, namanya juga mau magang, mahasiswa mau cari pengalaman kerja, bukan melamar pekerjaan. Saya juga pernah jd mahasiswa jd tau, gk semua mahasiswa punya pengalaman kerja krn jadwal kuliah yg padat, Oke sekian mungkin uneg uneg saya, Mungkin kampus merdeka  untuk kedepannya bisa sosialisasikan ke mitra agar memberi kesempatan yg sudah sesuai kualifikasi yg mereka tulis un tuk wawancara/ test. Jd tdk ada mahasiswa yg dikecewakan krn menunggu sia sia",aaaaaaa terima kasih tanggap bicara cv kualifikasi sesuai mrk cari ipk tulis dr syarat ipk anak daftar sia sia kalo cari alam nama magang mahasiswa cari alam kerja lamar kerja mahasiswa tau mahasiswa alam kerja jadwal kuliah padat oke sekian uneg uneg kampus merdeka sosialisasi mitra sesuai kualifikasi tulis un tuk wawancara test jd mahasiswa kecewa tunggu sia sia,0
305,"@adhlslsa sama dan dah dapat email dah di jawab ,tapi gak ada kelanjutannya,bingung😢",deh email deh bingung,0
306,@rachel.marla up😢 ini perlu banget,marla up banget,0
